,2011-07-03,2011-10-02,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29,2013-12-29,2014-03-30,2014-06-29,2014-09-28,2014-12-28,2015-07-05,2015-10-04,2016-04-03,2016-07-03,2016-10-02,2017-01-01,2017-04-02
AllocatedShareBasedCompensationExpense,,,,200000.000,100000.000,,100000.000,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,274000.000,,,,,0.000,,,,,,0.000,,0.000,0.000,0.000,0.000,0.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,12448000.000,,,,-25454000.000,,,,-10391000.000,,,,,,7516000.000,,,,-85626000.000
CashAndCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,,,,,,,,,,,,,,,,,5292000.000,,,,-88313000.000
ComprehensiveIncomeNetOfTax,16906000.000,-1555000.000,,,,,,,,,,,,,,,,,,,18645000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-1049000.000,,,,,,,,,,,,,,,,,,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,16906000.000,-1555000.000,,-1621000.000,2398000.000,,2723000.000,3881000.000,21056000.000,16763000.000,6692000.000,13373000.000,-14318000.000,-24570000.000,24225000.000,12515000.000,22881000.000,14536000.000,19497000.000,,
CostOfGoodsAndServicesSold,172865000.000,178681000.000,156557000.000,170012000.000,160002000.000,128270000.000,139117000.000,157250000.000,162695000.000,159818000.000,144306000.000,170239000.000,168596000.000,180735000.000,162385000.000,156720000.000,135922000.000,149081000.000,155431000.000,149539000.000,133300000.000
DebtInstrumentIncreaseAdditionalBorrowings,,,,,,,57100000.000,,,,,,,,,,,,,,
DepreciationDepletionAndAmortization,,,6246000.000,,,,6159000.000,,,,6662000.000,,,,,,7517000.000,7443000.000,7514000.000,8158000.000,8244000.000
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,0.000,,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,0.000,0.000,0.000,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,-25875000.000,,,,,,,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,-16840000.000,,,,,,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,0.000,0.000,0.000,0.000,,,,,,,,,,,
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,,,,,-9035000.000,,,,,,,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,0.000,9210000.000,,0.000,0.000,0.000,0.000,,,,,,,,,,,
DividendsAndInterestPaid,,,,,,,,,,,-1995000.000,,,,,,,,,,
EarningsPerShareBasic,0.200,0.190,-0.090,0.160,-0.090,0.110,0.110,0.170,0.230,0.220,0.060,0.200,-0.010,0.120,0.330,0.310,0.200,0.320,0.250,0.060,0.130
EarningsPerShareBasicAndDiluted,,,,,-0.090,,,,0.230,,,,,,,,,,,,
EarningsPerShareBasicDistributed,,,,,,,,,,,0.030,0.030,0.030,,,0.050,0.050,0.050,0.060,0.060,0.060
EarningsPerShareBasicUndistributed,,,,,,,,,,,0.030,0.170,-0.040,,,0.260,0.150,0.270,0.190,-0.000,0.070
EarningsPerShareDiluted,0.200,0.190,-0.090,0.160,-0.090,0.110,0.110,0.170,0.230,0.220,0.060,0.200,-0.010,0.120,0.330,0.310,0.200,0.320,0.250,0.060,0.130
EarningsPerShareDilutedDistributed,,,,,,,,,,,0.030,0.030,0.030,,,0.050,0.050,0.050,0.060,0.060,0.060
EarningsPerShareDilutedUndistributed,,,,,,,,,,,0.030,0.170,-0.040,,,0.260,0.150,0.270,0.190,-0.000,0.070
EffectOfExchangeRateOnCashAndCashEquivalents,,,687000.000,,,,-303000.000,,,,-61000.000,,,,,,2224000.000,,,,2687000.000
EmployeeBenefitsAndShareBasedCompensation,,,1298000.000,,,,554000.000,,,,2150000.000,,,,,,1258000.000,,,,1115000.000
EmployeeServiceShareBasedCompensationCashReceivedFromExerciseOfStockOptions,,,,,,,868000.000,,,,105000.000,,,,,,,,,,
GrossProfit,94775000.000,94425000.000,76203000.000,84595000.000,82861000.000,73520000.000,71252000.000,86233000.000,91753000.000,91871000.000,74686000.000,90385000.000,83595000.000,91361000.000,101252000.000,97966000.000,86632000.000,99126000.000,92918000.000,89968000.000,87802000.000
IncomeLossFromContinuingOperations,,,,22802000.000,11067000.000,,6997000.000,10965000.000,14957000.000,15336000.000,,,,,,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,19183000.000,19085000.000,-6571000.000,15620000.000,16631000.000,12423000.000,7429000.000,15898000.000,21418000.000,24259000.000,6555000.000,19051000.000,706000.000,9430000.000,31875000.000,29297000.000,19059000.000,30324000.000,23350000.000,6403000.000,12778000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,,0.170,,,,0.230,,,,,,,,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,0.170,,0.110,0.170,0.230,0.220,,,,,,,0.200,0.320,0.250,0.060,0.130
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,0.170,,0.110,0.170,0.230,0.220,,,,,,,0.200,0.320,0.250,0.060,0.130
IncomeLossFromDiscontinuedOperationsNetOfTax,,,,,-16840000.000,,0.000,0.000,0.000,0.000,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,,-0.260,,,,0.000,,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,-0.260,,0.000,0.000,0.000,0.000,,,,,,,,,,,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,-0.260,,0.000,0.000,0.000,0.000,,,,,,,,,,,
IncomeTaxExpenseBenefit,6369000.000,6917000.000,-637000.000,5362000.000,5564000.000,-4249000.000,,4933000.000,6461000.000,,2530000.000,5980000.000,1082000.000,1342000.000,10153000.000,9170000.000,6165000.000,9667000.000,7446000.000,1696000.000,4231000.000
IncomeTaxExpenseBenefitContinuingOperations,,,,,,,432000.000,,,,,,,,,,,,,,
IncomeTaxesPaid,,,,,,,1600000.000,,,,2900000.000,,,,,,4800000.000,,,,4700000.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,2131000.000,,,,-18618000.000,,,,-3342000.000,,,,,,-31703000.000,,,,-1169000.000
IncreaseDecreaseInAccountsReceivable,,,-31890000.000,,,,-21942000.000,,,,-8106000.000,,,,,,-13242000.000,,,,-11661000.000
IncreaseDecreaseInDeferredIncomeTaxes,,,,,,,,,,,146000.000,,,,,,,,,,
IncreaseDecreaseInInventories,,,3766000.000,,,,17088000.000,,,,19963000.000,,,,,,9387000.000,,,,18610000.000
IncreaseDecreaseInPrepaidExpense,,,4263000.000,,,,10300000.000,,,,52000.000,,,,,,63000.000,,,,3313000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,,149000.000,134000.000,,101000.000,77000.000,0.000,-119000.000,49000.000,53000.000,38000.000,38000.000,37000.000,-75000.000,42000.000
InterestExpense,6783000.000,6428000.000,6653000.000,6139000.000,6330000.000,5902000.000,6158000.000,5907000.000,6303000.000,5442000.000,5498000.000,5420000.000,5614000.000,4253000.000,1790000.000,1348000.000,1519000.000,1590000.000,1654000.000,1367000.000,1617000.000
InterestPaid,,,,,,,,,,,,,,,,,1100000.000,,,,1600000.000
InterestPaidNet,,,,,,,300000.000,,,,300000.000,,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,-1176000.000,,,,-786000.000,,,,2250000.000,,,,,,14319000.000,,,,-86825000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-1176000.000,,,,-786000.000,,,,2250000.000,,,,,,14319000.000,,,,-86825000.000
NetCashProvidedByUsedInInvestingActivities,,,-11389000.000,,,,-15368000.000,,,,-10020000.000,,,,,,-4731000.000,,,,-8883000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-11389000.000,,,,-15368000.000,,,,-10020000.000,,,,,,-4731000.000,,,,-8883000.000
NetCashProvidedByUsedInOperatingActivities,,,24326000.000,,,,-8997000.000,,,,-2560000.000,,,,,,-4296000.000,,,,7395000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,24326000.000,,,,-8997000.000,,,,-2560000.000,,,,,,-4296000.000,,,,7395000.000
NetIncomeLoss,12814000.000,12168000.000,,,,,,,,,,,,,,,,,,,8547000.000
NumberOfOperatingSegments,,,,,,,,,,,3.000,,,,,,3.000,,,,3.000
NumberOfReportableSegments,,,,,,,,,,,1.000,,,,,,1.000,,,,1.000
OperatingIncomeLoss,26137000.000,25338000.000,519000.000,22033000.000,23097000.000,18999000.000,13994000.000,21803000.000,27835000.000,31998000.000,12027000.000,24343000.000,7251000.000,26674000.000,33219000.000,31302000.000,21027000.000,31798000.000,25743000.000,6369000.000,15328000.000
OtherComprehensiveIncomeDefinedBenefitPlansAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,,,,,,,,,,,,932000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,,,,,,,,,,,,,,,,,,,,,11030000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,-6159000.000,-6766000.000,7503000.000,181000.000,3104000.000,1078000.000,-15991000.000,-16542000.000,5060000.000,-8408000.000,9379000.000,-8311000.000,2759000.000,,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,,,,,,,-1885000.000,318000.000,1404000.000,-1246000.000,437000.000,776000.000,-2049000.000,16116000.000,2557000.000,-796000.000,-608000.000,-2190000.000,-834000.000,,
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansNetOfTax,,,,,,,,,,,,,,,,,400000.000,,,,
OtherDepreciationAndAmortization,,,,6572000.000,,,,,,,,,,,,,,,,,
OtherNonoperatingExpense,171000.000,-175000.000,437000.000,274000.000,136000.000,674000.000,407000.000,,,,,,,,-446000.000,657000.000,449000.000,,,,
OtherNonoperatingIncomeExpense,,,,,,,,2000.000,-114000.000,,26000.000,128000.000,-931000.000,,,,,116000.000,-739000.000,,-933000.000
OtherOperatingIncomeExpenseNet,,,,,,,,-5905000.000,6417000.000,,,,,,,,,,,,
PaymentsForProceedsFromOtherInvestingActivities,,,1035000.000,,,,485000.000,,,,958000.000,,,,,,270000.000,,,,389000.000
PaymentsForRepurchaseOfCommonStock,,,,,,,,,,,,,,,,,75000.000,,,,31061000.000
PaymentsOfDividends,,,,,,,,,,,,,,,,,3273000.000,,,,3806000.000
PaymentsOfDividendsCommonStock,,,1307000.000,,,,1654000.000,,,,,,,,,,,,,,
PaymentsRelatedToTaxWithholdingForShareBasedCompensation,,,,,,,,,,,,,,,,,,,,,1447000.000
PaymentsToAcquirePropertyPlantAndEquipment,,,10354000.000,,,,14883000.000,,,,9062000.000,,,,,,4461000.000,,,,8494000.000
ProceedsFromIssuanceOfCommonStock,,,131000.000,,,,868000.000,,,,105000.000,,,,,,0.000,,,,
ProceedsFromIssuanceOfLongTermDebt,,,,,,,,,,,4140000.000,,,,,,17667000.000,,,,
ProceedsFromIssuanceOfSecuredDebt,,,,,,,,,,,,,,,,,,,,,0.000
ProfitLoss,12814000.000,12168000.000,-5934000.000,10258000.000,-5773000.000,7392000.000,6997000.000,10965000.000,14957000.000,15336000.000,4025000.000,13071000.000,-376000.000,8088000.000,21722000.000,20127000.000,12894000.000,20657000.000,15904000.000,,
RepaymentsOfLinesOfCredit,,,,,,,,,,,,,,,,,,,,,50511000.000
RepaymentsOfLongTermDebt,,,,,,,,,,,,,,,,,0.000,,,,
RestructuringCharges,,,,,800000.000,,,,,,,,,,,,,,,,
RestructuringSettlementAndImpairmentProvisions,,,,,,,0.000,0.000,0.000,0.000,,,12386000.000,,,0.000,,,,,7299000.000
Revenues,267640000.000,273106000.000,232760000.000,254607000.000,242863000.000,201790000.000,210369000.000,243483000.000,254448000.000,251689000.000,218992000.000,260624000.000,252191000.000,272096000.000,263637000.000,254686000.000,222554000.000,248207000.000,248349000.000,239507000.000,221102000.000
SalesRevenueNet,267640000.000,273106000.000,232760000.000,254607000.000,242863000.000,201790000.000,210369000.000,243483000.000,254448000.000,251689000.000,218992000.000,260624000.000,252191000.000,272096000.000,263637000.000,254686000.000,222554000.000,248207000.000,248349000.000,239507000.000,221102000.000
SalesRevenueServicesNet,,,,254607000.000,,,,,,,,,,,,,,,,,
SellingGeneralAndAdministrativeExpense,68638000.000,69087000.000,59368000.000,62562000.000,58014000.000,51414000.000,57258000.000,64430000.000,63918000.000,66827000.000,62659000.000,66042000.000,63958000.000,64687000.000,68033000.000,66664000.000,65605000.000,67328000.000,67175000.000,63811000.000,65175000.000
SeveranceCosts,,,16316000.000,,770000.000,,,,,,,,,,,,,,,,
ShareBasedCompensation,,,,,,,600000.000,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,,,,,,,584000.000,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,,,,5500.000,,,,0.000,,,,,,,,,,0.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,,,,,,,,,,,0.000,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,,,,,,0.000,,,,0.000,,,,,,,,,,0.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,,,9.730,,,,4.310,,,,,,,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,,,2.710,,,,,,,,,,,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,,,0.000,,,,0.000,,,,,,,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,,,81000.000,,,,15000.000,,,,,,,,,,0.000
StockIssuedDuringPeriodValueStockOptionsExercised,,,,,,,581000.000,,,,224000.000,,,,,,,,,,
