,2011-07-02,2011-10-01,2012-03-31
AmortizationOfFinancingCosts,,,34631.000
AmortizationOfIntangibleAssets,,,4501.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,,6047138.000
ComprehensiveIncomeNetOfTax,,,-3586604.000
CostOfGoodsAndServicesSold,84554299.000,66140939.000,60135314.000
Depreciation,,,3115425.000
EarningsPerShareBasic,0.510,0.080,-0.220
EarningsPerShareDiluted,0.490,0.080,-0.220
EffectOfExchangeRateOnCashAndCashEquivalents,,,10221.000
GrossProfit,45665583.000,34855939.000,30320754.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,9365766.000,1399211.000,-5322450.000
IncomeTaxExpenseBenefit,1051449.000,86702.000,-1674823.000
IncomeTaxesPaidNet,,,37800.000
IncreaseDecreaseInAccountsPayable,,,40084329.000
IncreaseDecreaseInAccountsReceivable,,,-2314373.000
IncreaseDecreaseInInventories,,,31225826.000
IncreaseDecreaseInOtherOperatingAssets,,,261388.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,376390.000
InterestExpense,361727.000,383944.000,461258.000
InterestPaidNet,,,457356.000
LossOnContractTermination,182914.000,,
NetCashProvidedByUsedInFinancingActivities,,,12410982.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,12410982.000
NetCashProvidedByUsedInInvestingActivities,,,-10103199.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-10103199.000
NetCashProvidedByUsedInOperatingActivities,,,3729134.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,3729134.000
NetIncomeLoss,8314317.000,1312509.000,-3647627.000
NonoperatingIncomeExpense,27510.000,-28023.000,72387.000
OperatingExpenses,35965600.000,33044761.000,35254333.000
OperatingIncomeLoss,9699983.000,1811178.000,-4933579.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,61023.000
PaymentsToAcquirePropertyPlantAndEquipment,,,10103199.000
PreOpeningCosts,228567.000,109257.000,1188429.000
ProceedsFromLinesOfCredit,,,37855417.000
RepaymentsOfLinesOfCredit,,,25444435.000
Revenues,130219882.000,100996878.000,90456068.000
SalesRevenueNet,130219882.000,100996878.000,90456068.000
SellingGeneralAndAdministrativeExpense,35554119.000,32935504.000,33639844.000
ShareBasedCompensation,,,264851.000
WeightedAverageNumberOfDilutedSharesOutstanding,16983191.000,16704730.000,16302557.000
WeightedAverageNumberOfSharesOutstandingBasic,16286651.000,16300309.000,16302557.000
