,2011-01-31,2011-07-31,2011-10-31,2012-01-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31
AccretionExpense,,207000.000,,,,233000.000,,,,261000.000,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,,2000.000,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,,,,,,,500000.000,
CapitalExpendituresIncurredButNotYetPaid,,983000.000,,,,1305000.000,,,,351000.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-1155000.000,,,,-2343000.000,,,,-2025000.000,
ComprehensiveIncomeNetOfTax,,,,,,832000.000,2729000.000,2812000.000,-2552000.000,-1121000.000,3067000.000
CostOfGoodsAndServicesSold,34381000.000,36910000.000,39217000.000,39737000.000,38536000.000,41442000.000,41618000.000,41005000.000,37351000.000,37395000.000,40570000.000
DeferredIncomeTaxExpenseBenefit,,-57000.000,,,,1454000.000,,,,-48000.000,
DepreciationDepletionAndAmortization,,1572000.000,,,,1426000.000,,,,1592000.000,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,0.000,0.000,0.000,0.000,0.000,0.000,,,,,
EarningsPerShareBasic,,,,,,,,0.050,,,0.040
EarningsPerShareBasicAndDiluted,,,,0.070,,0.050,0.040,,,-0.020,
EarningsPerShareDiluted,,,,,,,,0.050,,,0.040
EffectOfExchangeRateOnCashAndCashEquivalents,,-300000.000,,,,214000.000,,,,41000.000,
ForeignCurrencyTransactionGainLossRealized,,,,,,-369000.000,129000.000,24000.000,-246000.000,-159000.000,-44000.000
ForeignCurrencyTransactionGainLossUnrealized,,-404000.000,,,,100000.000,-212000.000,-220000.000,-116000.000,-1332000.000,359000.000
GeneralAndAdministrativeExpense,6194000.000,6609000.000,5361000.000,5342000.000,7070000.000,5869000.000,5730000.000,5818000.000,6156000.000,5331000.000,5930000.000
GrossProfit,23092000.000,23120000.000,25316000.000,26071000.000,24861000.000,24793000.000,25420000.000,26653000.000,21056000.000,21609000.000,25743000.000
ImpairmentOfInvestments,,,,,,0.000,0.000,0.000,,0.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,2339000.000,754000.000,4869000.000,5300000.000,1742000.000,3684000.000,3527000.000,4246000.000,-1156000.000,-956000.000,4263000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,1281000.000,654000.000,2731000.000,3259000.000,2745000.000,2207000.000,2175000.000,2695000.000,-1905000.000,-835000.000,2307000.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,,,,0.070,,0.050,0.040,,,-0.020,
IncomeLossFromContinuingOperationsPerBasicShare,,,,,,,,0.060,,,0.050
IncomeLossFromContinuingOperationsPerDilutedShare,,,,,,,,0.050,,,0.050
IncomeLossFromDiscontinuedOperationsNetOfTax,-40000.000,57000.000,48000.000,57000.000,-102000.000,14000.000,-65000.000,-84000.000,0.000,-10000.000,-217000.000
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,,,,0.000,,0.000,0.000,,,0.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicShare,,,,,,,,-0.010,,,-0.010
IncomeLossFromDiscontinuedOperationsNetOfTaxPerDilutedShare,,,,,,,,0.000,,,-0.010
IncomeTaxExpenseBenefit,1058000.000,100000.000,2138000.000,2041000.000,-1003000.000,1477000.000,1352000.000,1551000.000,749000.000,-121000.000,1956000.000
IncomeTaxesPaid,,378000.000,,,,1408000.000,,,,564000.000,
IncreaseDecreaseInAccountsPayable,,-136000.000,,,,29000.000,,,,22000.000,
IncreaseDecreaseInDeferredRevenueAndCustomerAdvancesAndDeposits,,,,,,-3213000.000,,,,1317000.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,,128000.000,,,,-1689000.000,,,,-1776000.000,
IncreaseDecreaseInInventories,,3367000.000,,,,1283000.000,,,,1863000.000,
IncreaseDecreaseInOtherOperatingAssets,,-277000.000,,,,1138000.000,,,,-622000.000,
IncreaseDecreaseInOtherOperatingLiabilities,,-1545000.000,,,,-873000.000,,,,1399000.000,
IncreaseDecreaseInReceivables,,-3919000.000,,,,1699000.000,,,,4790000.000,
IncreaseDecreaseInRestrictedCash,,-309000.000,,,,-966000.000,,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,0.000,536000.000,728000.000,,0.000,326000.000
InterestExpense,418000.000,311000.000,309000.000,317000.000,175000.000,340000.000,325000.000,297000.000,611000.000,384000.000,138000.000
InterestPaid,,132000.000,,,,80000.000,,,,57000.000,
InventoryWriteDown,,145000.000,,,,35000.000,,,,160000.000,
InvestmentIncomeInterest,21000.000,40000.000,9000.000,12000.000,1000.000,55000.000,12000.000,10000.000,147000.000,16000.000,11000.000
