,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2013-03-31,2013-06-30,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AmortizationOfDeferredCharges,,,,,,,,14000.000,,,,14000.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-45609.000,,46787.000,,,-224569.000,,,,-31146.000,,,
ComprehensiveIncomeNetOfTax,-935643.000,-1099360.000,-1401380.000,-1171386.000,-459932.000,-951460.000,-727775.000,-555293.000,-1145500.000,-673974.000,-833769.000,-615165.000,-1059476.000,-878453.000,-3319477.000
DebtInstrumentConvertibleBeneficialConversionFeature,,,40071.000,,,,,,,,,,,,
DebtInstrumentDecreaseForgiveness,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
Depreciation,,,11288.000,,31796.000,,,32663.000,,,,32462.000,,,
EarningsPerShareBasicAndDiluted,,,,,,,0.000,0.000,0.000,0.000,-0.010,0.000,0.000,0.000,-0.020
EarningsPerShareDiluted,-0.010,-0.010,-0.010,-0.010,0.000,0.000,,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,,,-15671.000,,-56209.000,,,-3842.000,,,,28705.000,,,
ExplorationExpense,,0.000,,,,,,,,,,,,,
ExplorationExpenseMining,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
GainLossOnDerivativeInstrumentsNetPretax,,,0.000,,,,,,,,,,,,
GainLossOnSaleOfPropertyPlantEquipment,,,,,,14769.000,0.000,0.000,0.000,0.000,0.000,,,,
GainOrLossOnSaleOfStockInSubsidiary,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
GeneralAndAdministrativeExpense,547835.000,602596.000,506655.000,455923.000,234020.000,565547.000,135672.000,342487.000,254695.000,234979.000,229883.000,187195.000,211743.000,179827.000,337456.000
ImpairmentOfIntangibleAssetsFinitelived,,,0.000,,0.000,,,0.000,,,,,,,
ImpairmentOfLongLivedAssetsHeldForUse,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-951039.000,-1188774.000,-1385709.000,-1158149.000,-403723.000,-984374.000,-724668.000,-551451.000,-1135018.000,-706572.000,-882878.000,,,,
IncomeLossFromDiscontinuedOperationsNetOfTax,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
IncomeTaxExpenseBenefit,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,
IncreaseDecreaseInAccountsPayable,,,55637.000,,33988.000,,,-80468.000,,,,-26443.000,,,
IncreaseDecreaseInAccruedLiabilities,,,22290.000,,168685.000,,,125209.000,,,,34627.000,,,
IncreaseDecreaseInDeferredCharges,,,-2021.000,,-14000.000,,,,,,,,,,
IncreaseDecreaseInOtherReceivables,,,14371.000,,-45062.000,,,-15612.000,,,,-7945.000,,,
