,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AmortizationOfIntangibleAssets,,,,,51000000.000,48000000.000,53000000.000,63000000.000,71000000.000,70000000.000,70000000.000,108000000.000,130000000.000,131000000.000,125000000.000,108000000.000,112000000.000,109000000.000,108000000.000,102000000.000,115000000.000,115000000.000,102000000.000,112000000.000,121000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,4000000.000,1000000.000,1000000.000,-2000000.000,5000000.000,2000000.000,1000000.000,-6000000.000,3000000.000,1000000.000,0.000,-2000000.000,2000000.000,1000000.000,0.000,-2000000.000,1000000.000,1000000.000,1000000.000,-1000000.000,2000000.000,2000000.000,2000000.000,-4000000.000,2000000.000
AssetsFairValueAdjustment,,,,,,,,,,,,,34000000.000,,,,,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,81000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-496000000.000,,,,-1136000000.000,,,,449000000.000,,,,-88000000.000,,,,294000000.000,,,,611000000.000,,,,-444000000.000
CommonStockDividendsPerShareCashPaid,,,,,,,,,,,,,,,,,0.240,,,,,,,,
CommonStockDividendsPerShareDeclared,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.240,0.280,0.280,0.280,0.280,0.280,0.280,0.280,0.280
ComprehensiveIncomeNetOfTax,,,,,345000000.000,477000000.000,287000000.000,159000000.000,371000000.000,506000000.000,12000000.000,436000000.000,513000000.000,-63000000.000,93000000.000,-777000000.000,855000000.000,407000000.000,433000000.000,715000000.000,364000000.000,192000000.000,259000000.000,3675000000.000,514000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,-4000000.000,-131000000.000,-13000000.000,-64000000.000,57000000.000,-7000000.000,-18000000.000,40000000.000,-48000000.000,18000000.000,-17000000.000,51000000.000,172000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,509000000.000,-194000000.000,80000000.000,-841000000.000,912000000.000,400000000.000,415000000.000,755000000.000,316000000.000,210000000.000,242000000.000,3726000000.000,686000000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangeDueToNetIncomeAttributableToParentAndEffectsOfChangesNet,,,,,,,,,,,,,,463000000.000,472000000.000,,,617000000.000,,,,,,,312000000.000
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesNet,,,,,,,,,,,,,,,,,,0.000,,,,,,,
ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesPurchaseOfInterestByParent,,,,,,,,,,,,,32000000.000,,,,,0.000,,,,,,,
CostOfRevenue,28471000000.000,28569000000.000,29273000000.000,29854000000.000,29198000000.000,28130000000.000,29519000000.000,28624000000.000,30288000000.000,30945000000.000,32466000000.000,35601000000.000,41261000000.000,41835000000.000,44063000000.000,40475000000.000,44698000000.000,45917000000.000,45027000000.000,43826000000.000,46826000000.000,47201000000.000,47318000000.000,45917000000.000,48491000000.000
DefinedBenefitPlanContributionsByEmployer,,,,,,,,,,,,,15000000.000,16000000.000,35000000.000,,34000000.000,10000000.000,8000000.000,,4000000.000,6000000.000,6000000.000,,3000000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,,,,,,,,,,,11000000.000,12000000.000,15000000.000,,,,,,6000000.000,8000000.000,8000000.000,,6000000.000
DepreciationDepletionAndAmortization,135000000.000,,,,140000000.000,,,,154000000.000,,,,284000000.000,,,,229000000.000,,,,242000000.000,,,,227000000.000
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,,,,,,,,,,,-5000000.000,,,-6000000.000,0.000,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,,,5000000.000,-18000000.000,-90000000.000,-4000000.000,,-14000000.000,-2000000.000,,,,,,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,,,,,,-85000000.000,,-15000000.000,-8000000.000,-2000000.000,-296000000.000,,,,,,,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,,,,,,,1000000.000,-6000000.000,2000000.000,-8000000.000,-1000000.000,0.000,0.000,-27000000.000,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,,,,,116000000.000,110000000.000,78000000.000,117000000.000,36000000.000,3000000.000,2000000.000,2155000000.000,,,,,,,,,
EarningsPerShareBasic,1.150,1.200,1.220,2.130,1.610,1.700,1.270,1.130,1.860,1.760,0.280,1.610,1.750,2.020,2.030,0.570,2.490,2.660,2.760,1.910,2.410,1.360,2.870,16.310,1.460
EarningsPerShareDiluted,1.130,1.180,1.200,2.080,1.580,1.670,1.240,1.100,1.830,1.740,0.280,1.560,1.720,1.990,2.000,0.560,2.450,2.630,2.730,1.890,2.380,1.340,2.850,16.160,1.450
EffectOfExchangeRateOnCashAndCashEquivalents,,,,,-9000000.000,,,,-10000000.000,,,,9000000.000,,,,60000000.000,,,,-12000000.000,,,,75000000.000
EffectiveIncomeTaxRateContinuingOperations,,,,,,,,,,,,,,,,,,0.277,0.241,,0.262,0.381,0.168,-0.577,0.207
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,,,,,,,,,,,,,,25000000.000,,,,,,,
FiniteLivedIntangibleAssetsAmortizationExpense,48000000.000,49000000.000,49000000.000,45000000.000,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseAfterYearFive,683000000.000,,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFive,119000000.000,,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearFour,140000000.000,,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearOne,190000000.000,,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearThree,158000000.000,,,,,,,,,,,,,,,,,,,,,,,,
FutureAmortizationExpenseYearTwo,172000000.000,,,,,,,,,,,,,,,,,,,,,,,,
GainLossOnDispositionOfAssets1,,,,,,,,,,,,,,,,,,,,,,,,,1000000.000
GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,-113000000.000,,,,37000000.000
GoodwillAcquiredDuringPeriod,72000000.000,,,,7000000.000,,,,22000000.000,,,,14000000.000,,,,6000000.000,,,,1501000000.000,,,,940000000.000
GoodwillAllocationAdjustment,,,,,6000000.000,,,,,,,,,,,,,,,,,,,,
GoodwillForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,162000000.000,,,,230000000.000
GoodwillImpairmentLoss,,,,,,,,,,,,,,,,,,,,,,290000000.000,0.000,,
GoodwillOtherChanges,,,,,,,,,24000000.000,,,,,,,,,,,,,,,,
GoodwillPurchaseAccountingAdjustments,,,,,,,,,,,,,445000000.000,,,,8000000.000,,,,2000000.000,,,,-6000000.000
GoodwillTranslationAdjustments,,,,,-20000000.000,,,,,,,,45000000.000,,,,205000000.000,,,,,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments,3000000.000,,,,,,,,,,,,,,,,,,,,,,,,
GoodwillWrittenOffRelatedToSaleOfBusinessUnit,,,,,,,,,141000000.000,,,,,,,,26000000.000,,,,,,,,
