,2011-06-30,2011-09-30
AccountsPayableCurrent,1773000.000,1572000.000
AccountsReceivableNetCurrent,32000.000,423000.000
AccruedLiabilitiesCurrent,7943000.000,13124000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,70570000.000,73261000.000
Assets,224410000.000,222798000.000
AssetsCurrent,41828000.000,42487000.000
AssetsNet,-13769000.000,-8130000.000
BuildingsAndImprovementsGross,137762000.000,137874000.000
CashAndCashEquivalentsAtCarryingValue,37160000.000,37955000.000
ConstructionInProgressGross,74249000.000,73973000.000
DueFromRelatedPartiesCurrent,,293000.000
DueToRelatedPartiesCurrent,1037000.000,
FurnitureAndFixturesGross,35462000.000,36078000.000
InventoryNet,90000.000,81000.000
LiabilitiesCurrent,210641000.000,214668000.000
LongTermDebtCurrent,199888000.000,199972000.000
PrepaidExpenseAndOtherAssetsCurrent,4546000.000,3735000.000
PropertyPlantAndEquipmentNet,176903000.000,174664000.000
RestrictedCashAndCashEquivalentsNoncurrent,4332000.000,4284000.000
