,2013-03-31
AccountsPayableCurrent,1596.000
AdditionalPaidInCapital,538320.000
Assets,135896.000
CommonStockSharesIssued,34499994.000
CommonStockSharesOutstanding,34499994.000
CommonStockValue,345000.000
DueToOfficersOrStockholdersCurrent,32742.000
IntangibleAssetsNetExcludingGoodwill,135896.000
Liabilities,34338.000
LiabilitiesAndStockholdersEquity,135896.000
LiabilitiesCurrent,34338.000
RetainedEarningsAccumulatedDeficit,-781762.000
StockholdersEquity,101558.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,101558.000
