,2017-04-30
Assets,3690.000
AssetsCurrent,17181.000
AssetsNoncurrent,21951.000
CashAndCashEquivalentsAtCarryingValue,15319.000
CommonStockSharesIssued,3000.000
CustomerDepositsCurrent,5100.000
DeferredTaxLiabilitiesCurrent,298.000
Deposits,1080.000
EmployeeRelatedLiabilitiesCurrent,13000.000
Liabilities,21951.000
LiabilitiesCurrent,18100.000
LiabilitiesNoncurrent,18398.000
OtherLiabilitiesCurrent,298.000
PropertyPlantAndEquipmentNet,3690.000
PublicUtilitiesInventory,1862.000
RetainedEarningsAccumulatedDeficit,553.000
StockholdersEquity,3553.000
