,2011-03-31,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccrualForEnvironmentalLossContingenciesChargesToExpenseForNewLosses,,,,,,,,,,,,,,,,,,,,,,,,200000.000
AccrualForEnvironmentalLossContingenciesForeignCurrencyTranslationGainLoss,,,,,,,,,,,,,,,,,,,,,,,,200000.000
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForAcquisitionsAndDivestitures,,,,,,,,,,,,,,,,0.000,,,,0.000,,,,
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForCurrencyTranslation,,,,300000.000,,,,100000.000,,,,500000.000,,,,-400000.000,,,,100000.000,,,,
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForRevisionInEstimates,,,,100000.000,,,,0.000,,,,0.000,,,,0.000,,,,0.000,,,,-300000.000
AccrualForEnvironmentalLossContingenciesPayments,,,,-2300000.000,,,,300000.000,,,,100000.000,,,,400000.000,,,,900000.000,,,,
AccrualForEnvironmentalLossContingenciesPayments1,,,,,,,,,,,,,,,,,,,,,,,,900000.000
AccrualForEnvironmentalLossContingenciesProvisionForNewLosses,,,,600000.000,,,,100000.000,,,,100000.000,,,,200000.000,,,,100000.000,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,0.000,,,,,,,,,,,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpense,,,,1500000.000,1700000.000,1900000.000,1800000.000,1400000.000,1400000.000,1900000.000,-400000.000,,,,,,,,,,,,,
AllocatedShareBasedCompensationExpenseNetOfTax,,,,900000.000,1000000.000,1100000.000,1100000.000,800000.000,900000.000,1100000.000,-200000.000,700000.000,1200000.000,800000.000,100000.000,400000.000,800000.000,700000.000,400000.000,700000.000,1300000.000,1300000.000,2000000.000,1400000.000
AmortizationOfDebtDiscountPremium,,,,,,,,400000.000,,,,400000.000,,,,900000.000,,,,900000.000,,,,500000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,181000.000,212000000.000,203000.000,-212190000.000,181000.000,254000.000,254000.000,-449000.000,235000.000,284000.000,265000.000,-422000.000,530000.000,442000.000,738000.000,-1022000.000,891000.000,424000.000,339000.000,-1239000.000,128000.000
