,2011-06-30,2011-09-30
AllocatedShareBasedCompensationExpense,3902000.000,321000.000
ComprehensiveIncomeNetOfTax,-7966000.000,-1209000.000
CostOfGoodsAndServicesSold,1650000.000,1419000.000
DepreciationNonproduction,20000.000,14000.000
EarningsPerShareBasicAndDiluted,-0.000,0.000
ForeignCurrencyTransactionGainLossBeforeTax,-465000.000,1297000.000
GeneralAndAdministrativeExpense,976000.000,1083000.000
GrossProfit,471000.000,249000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-7847000.000,-947000.000
InterestExpenseOther,51000.000,26000.000
InterestIncomeExpenseNonoperatingNet,-801000.000,-800000.000
NetIncomeLoss,-7847000.000,-947000.000
NonoperatingIncomeExpense,-3231000.000,437000.000
OperatingExpenses,5087000.000,1633000.000
OperatingIncomeLoss,-4616000.000,-1384000.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPeriodIncreaseDecrease,-119000.000,
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,-262000.000
OtherNonoperatingExpense,170000.000,
ResearchAndDevelopmentExpense,90000.000,120000.000
Revenues,2121000.000,1668000.000
SalesRevenueNet,2121000.000,1147000.000
SellingAndMarketingExpense,99000.000,95000.000
