,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-11-30,2013-02-28
CashAndCashEquivalentsPeriodIncreaseDecrease,-20.000,,,,,
EarningsPerShareBasicAndDiluted,-0.000,0.000,0.000,0.000,0.000,-0.000
GainLossOnSaleOfNotesReceivable,,,,,,-15000.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,-13238.000,,,,,
IncreaseDecreaseInInterestPayableNet,718.000,,,,,
InterestExpense,717.000,717.000,717.000,719.000,717.000,717.000
NetCashProvidedByUsedInOperatingActivities,-20.000,,,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-20.000,,,,,
NetIncomeLoss,-13237.000,-18217.000,-15712.000,-16969.000,,
OperatingIncomeLoss,-12520.000,-17500.000,-14995.000,-16250.000,-19087.000,-17380.000
OtherIncome,-717.000,-717.000,-717.000,-719.000,-717.000,-15717.000
ProfitLoss,,,,,-19804.000,-33098.000
SellingGeneralAndAdministrativeExpense,12520.000,17500.000,14995.000,16250.000,19087.000,17380.000
