,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AccretionExpense,,,,,,,,,2119.000,,
AssetRetirementObligationAccretionExpense,,,,,,,,,2119.000,,
AssetRetirementObligationForeignCurrencyTranslation,,,,,,,,,-15808.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,-152.000,,478451.000,,,,
CashProvidedByUsedInDiscontinuedOperationsFinancingActivities,-5430.000,,,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,,,,,-526015.000,-197527.000,-166408.000
DebtInstrumentDecreaseForgiveness,,,,,,,-2500.000,,,,
DeferredFinanceCostsOwnshareLendingArrangementIssuanceCostsAdjustment,-5000.000,,,,,,,,,,
DepreciationAndAmortization,,,,,,,,,17669.000,19891.000,15541.000
DepreciationDepletionAndAmortization,,,,,,,,,17669.000,,
EarningsPerShareBasicAndDiluted,-0.000,-0.010,-0.010,0.000,-0.000,-0.000,-0.090,0.050,-0.000,-0.000,-0.000
EffectiveIncomeTaxRateReconciliationOtherAdjustments,,,,,0.150,,,,,,
FairValueAssumptionsExpectedDividendRate,,,,,,,,,0.000,,
FeesAndCommissions,2091.000,4288.000,,,,,,,,,
FeesAndCommissionsOther,,12341.000,,,,,,,,,
GainsLossesOnExtinguishmentOfDebt,,,,,,,-2500.000,,,,
GeneralAndAdministrativeExpense,4323.000,26021.000,30666.000,7518.000,3237.000,3310.000,489.000,189639.000,44373.000,26266.000,20008.000
IncomeLossBeforeExtraordinaryItemsAndCumulativeEffectOfChangeInAccountingPrinciple,,,,,,,,,-228617.000,-147737.000,-75581.000
IncomeLossFromContinuingOperations,-4323.000,-26021.000,-30666.000,-7518.000,-3237.000,-3310.000,,,-228617.000,-147737.000,-75581.000
IncomeTaxExpenseBenefit,,,,,,,,,,-749.000,7431.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,3085.000,,-404477.000,,,,
IncreaseDecreaseInAccountsPayableRelatedParties,,,,,,,-13479.000,,,,
IncreaseDecreaseInAccountsReceivable,,,,,,,,,-5712.000,,
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,578.000,,
IncreaseDecreaseInDeposits,3570.000,,,,,,,,-16756.000,,
IncreaseDecreaseInInventories,,,,,,,,,3089.000,,
IncreaseDecreaseInNotesPayableRelatedPartiesCurrent,,,,,,,,,131500.000,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,,,,,,,11854.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,,,,,,,1017.000,,
MaintenanceRevenue,,,,,,,,,-50454.000,,
NetCashProvidedByUsedInFinancingActivities,9000.000,,,,,,1112891.000,,50695.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,9000.000,,,,,,1112891.000,,50695.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,-375000.000,,-948.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,-375000.000,,-948.000,,
NetCashProvidedByUsedInOperatingActivities,,,,,-152.000,,-259440.000,,-66503.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,,,-152.000,,-259440.000,,-66503.000,,
NetIncomeLoss,,,-30666.000,,-3237.000,-3310.000,-3616968.000,-336213.000,-228617.000,,
NetIncomeLossAvailableToCommonStockholdersBasic,,,,,,,,,-228617.000,-146988.000,-80012.000
NoninterestExpenseDistributionAndServicingFees,,,230.000,,785.000,759.000,,,,,
OperatingExpenses,,,,,,,3619468.000,,295645.000,199419.000,129817.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,,,,,-297398.000,-50539.000,-86396.000
OtherComprehensiveIncomeLossNetOfTax,,,,,,,,,-297398.000,-50539.000,-86396.000
OtherExpenses,,,,,,,2500.000,,,,
OtherGeneralAndAdministrativeExpense,,400.000,236.000,,48.000,51.000,,,,,
OtherGeneralExpense,,,13000.000,,,300.000,,,,,
OtherIncome,,,,,,,,,1214.000,896.000,597.000
OtherSalesRevenueNet,,,,,,,,,12164.000,2932.000,9214.000
PaymentsOfStockIssuanceCosts,,,,,,,,,-50000.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,948.000,,
ProceedsFromIssuanceOfCommonStock,9000.000,,,,,,912891.000,,,,
ProceedsFromOtherDebt,,,,,,,,,695.000,,
ProceedsFromOtherShortTermDebt,,,,,,,200000.000,,,,
ProfessionalFees,2154.000,8750.000,17200.000,7150.000,2404.000,2200.000,3618979.000,126247.000,183149.000,111121.000,52139.000
RelatedPartyTransactionAmountsOfTransaction,,,,,,,25.000,,,,
RevenuesNetOfInterestExpense,,,,,,,,,67028.000,51682.000,57236.000
SalesOfOilAndGasProspects,,,,,,,,,53650.000,47854.000,47425.000
StockIssuedDuringPeriodValueIssuedForServices,,,,,,,3777984.000,,,,
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,,-486.000,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,,,,,,,51206785.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,,,51297135.000
WeightedAverageNumberOfSharesIssuedBasic,3000000.000,3007912.000,3360000.000,-6184961.000,3360000.000,3360000.000,42202888.000,78961748.000,51206785.000,51240423.000,51297135.000
WeightedAverageNumberOfSharesOutstandingBasic,,,,,,,,,51206785.000,,
