,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AccountsPayableRelatedPartiesCurrentAndNoncurrent,24000.000,19000.000,113000.000,35000.000,9000.000,
AccountsReceivableNet,114000.000,88000.000,261000.000,161000.000,216000.000,
Assets,4640000.000,4911000.000,3355000.000,3591000.000,3876000.000,
CashAndCashEquivalentsAtCarryingValue,1327000.000,1814000.000,249000.000,653000.000,947000.000,
DeferredRevenueLeasesNet,25000.000,96000.000,21000.000,20000.000,19000.000,
GeneralPartnersCapitalAccount,211000.000,213000.000,215000.000,218000.000,222000.000,
Liabilities,156000.000,222000.000,359000.000,256000.000,215000.000,
LimitedPartnersCapitalAccount,4273000.000,4476000.000,2781000.000,3117000.000,3439000.000,
LimitedPartnersCapitalAccountUnitsIssued,,,,,12471600.000,
LimitedPartnersCapitalAccountUnitsOutstanding,,,,,12471600.000,
OperatingLeasesFutureMinimumPaymentsReceivable,,,,,2859000.000,
OperatingLeasesFutureMinimumPaymentsReceivableInFiveYears,,,,,36000.000,
OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,,,,,36000.000,
OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,,,,,106000.000,
OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,,,,,807000.000,
OperatingLeasesFutureMinimumPaymentsReceivableThereafter,,,,,69000.000,
OtherAccountsPayableAndAccruedLiabilities,107000.000,107000.000,225000.000,201000.000,187000.000,
PartnersCapital,4484000.000,4689000.000,2996000.000,3335000.000,3661000.000,
PrepaidExpenseAndOtherAssets,,,,,6000.000,
PrepaidExpenseCurrentAndNoncurrent,1000.000,4000.000,2000.000,3000.000,,
PropertySubjectToOrAvailableForOperatingLeaseNet,,,,,2693000.000,
