,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentForAmortization,,,921000.000,,,,1164000.000,,,,1274000.000,,,,2446000.000,,,,2706000.000,,,,2945000.000,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,,3958000.000,,,,1401000.000,,,,-4051000.000,,,,2553000.000,,,,10161000.000,,,,3659000.000,
BusinessAcquisitionProFormaEarningsPerShareDiluted,,,,0.520,0.620,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaNetIncomeLoss,,,,7442000.000,8857000.000,,,,,,,,,,,,,,,,,,,
BusinessAcquisitionsProFormaRevenue,,,,81974000.000,87130000.000,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,1686000.000,,,,-2767000.000,,,,-855000.000,,,,1717000.000,,,,1773000.000,,,,3973000.000,
CommonStockDividendsPerShareDeclared,0.140,0.160,0.160,0.160,0.170,,0.170,0.170,0.180,,0.180,0.180,0.190,,0.190,0.190,0.200,,0.200,0.200,0.115,,0.115,0.115
ComprehensiveIncomeNetOfTax,,,7151000.000,6595000.000,9272000.000,5632000.000,2548000.000,7074000.000,9825000.000,11594000.000,4893000.000,8888000.000,9595000.000,1970000.000,3662000.000,8545000.000,8280000.000,4527000.000,8663000.000,9206000.000,9299000.000,6272000.000,9123000.000,11734000.000
CostOfGoodsAndServicesSold,47928000.000,46918000.000,47369000.000,51773000.000,52800000.000,45472000.000,46771000.000,58495000.000,59860000.000,52007000.000,54545000.000,60831000.000,59806000.000,58444000.000,53569000.000,63753000.000,63287000.000,61313000.000,61559000.000,64424000.000,57626000.000,59576000.000,62956000.000,63122000.000
DeferredIncomeTaxExpenseBenefit,,,63000.000,,,,-24000.000,,,,-66000.000,,,,-135000.000,,,,109000.000,,,,-12000.000,
Depreciation,,,2134000.000,,,,2191000.000,,,,2474000.000,,,,2202000.000,,,,2793000.000,,,,2918000.000,
EarningsPerShareBasic,0.520,0.460,0.420,0.520,0.630,,0.210,0.440,0.630,,0.330,0.620,0.710,,0.290,0.550,0.580,,0.550,0.650,0.300,,0.300,0.370
EarningsPerShareDiluted,0.520,0.460,0.420,0.520,0.620,,0.200,0.440,0.630,,0.320,0.610,0.710,,0.290,0.550,0.580,,0.550,0.650,0.300,,0.300,0.360
EffectOfExchangeRateOnCashAndCashEquivalents,,,-292000.000,,,,-231000.000,,,,60000.000,,,,53000.000,,,,-13000.000,,,,280000.000,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,,,0.331,0.359,,0.351,0.361,0.335,,0.374,0.366,0.349,,0.372,0.334,0.375,,0.363,0.360,0.360,,0.342,0.355
ExcessTaxBenefitFromShareBasedCompensationFinancingActivities,,,103000.000,,,,363000.000,,,,145000.000,,,,49000.000,,,,0.000,,,,,
GrossProfit,27220000.000,22780000.000,28864000.000,30201000.000,34330000.000,28851000.000,25037000.000,29846000.000,33103000.000,29003000.000,28951000.000,34831000.000,36465000.000,30895000.000,30075000.000,35143000.000,36101000.000,34457000.000,39011000.000,39396000.000,38647000.000,33522000.000,38650000.000,41054000.000
