,2011-10-02,2012-01-01,2012-04-01,2012-07-01,2012-09-30,2012-12-30,2013-03-31,2013-06-30,2013-09-29
AllocatedShareBasedCompensationExpense,,,,,1772000.000,1687000.000,1790000.000,1866000.000,1554000.000
AllocatedShareBasedCompensationExpenseNetOfTax,,,,,1116000.000,1063000.000,1128000.000,1175000.000,979000.000
AmortizationOfIntangibleAssets,52000.000,52000.000,52000.000,86000.000,86000.000,86000.000,87000.000,87000.000,86000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,7281000.000,7855000.000,5203000.000,-12253000.000,7340000.000
BusinessCombinationAcquisitionRelatedCosts,,,,,234000.000,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,7275000.000,,,,155000.000,,,,2607000.000
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,210000.000,,,,,,,,
ComprehensiveIncomeNetOfTax,,,,,-84000.000,-1774000.000,723000.000,-1614000.000,-880000.000
CostOfGoodsAndServicesSold,29830000.000,32225000.000,35638000.000,34214000.000,31900000.000,27861000.000,28654000.000,27538000.000,27382000.000
CostOfGoodsSoldAmortization,186000.000,185000.000,74000.000,174000.000,,,,,194000.000
CostOfRevenue,30433000.000,33084000.000,35777000.000,34410000.000,32089000.000,28150000.000,29266000.000,28585000.000,27584000.000
DeferredIncomeTaxExpenseBenefit,1231000.000,,,,-382000.000,,,,-569000.000
DepreciationDepletionAndAmortization,1455000.000,,,,1557000.000,,,,1869000.000
EarningsPerShareBasic,0.060,0.060,0.050,0.100,-0.010,-0.040,0.020,-0.040,
EarningsPerShareBasicAndDiluted,,,,,,,,,-0.020
EarningsPerShareDiluted,0.060,0.060,0.050,0.100,-0.010,-0.040,0.020,-0.040,
EffectOfExchangeRateOnCashAndCashEquivalents,-247000.000,,,,99000.000,,,,54000.000
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,,,,,656000.000,624000.000,662000.000,691000.000,575000.000
GainLossOnDispositionOfAssets,-73000.000,,,,,,,,-17000.000
GrossProfit,25945000.000,25210000.000,24661000.000,28196000.000,24302000.000,21001000.000,24083000.000,23514000.000,20460000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,4155000.000,3347000.000,3500000.000,6124000.000,,,,,-1456000.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,2749000.000,2445000.000,2204000.000,3957000.000,,,,,
IncomeLossFromContinuingOperationsPerBasicShare,0.060,0.060,0.050,0.100,,,,,
IncomeLossFromContinuingOperationsPerDilutedShare,0.060,0.060,0.050,0.100,,,,,
IncomeTaxExpenseBenefit,1406000.000,902000.000,1296000.000,2167000.000,-212000.000,-861000.000,-556000.000,-567000.000,-456000.000
IncomeTaxesPaid,175000.000,,,,1217000.000,,,,21000.000
IncreaseDecreaseInAccountsPayable,-7444000.000,,,,4748000.000,,,,1393000.000
IncreaseDecreaseInAccountsReceivable,-5427000.000,,,,-4551000.000,,,,-2942000.000
IncreaseDecreaseInInventories,3228000.000,,,,-1185000.000,,,,-2635000.000
IncreaseDecreaseInOtherAccruedLiabilities,-3073000.000,,,,-1344000.000,,,,-1447000.000
IncreaseDecreaseInPensionAndPostretirementObligations,-1899000.000,,,,-3882000.000,,,,-2447000.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1817000.000,,,,746000.000,,,,1368000.000
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,,,,,,,338000.000,,
InvestmentIncomeNetAmortizationOfDiscountAndPremium,66000.000,-296000.000,225000.000,287000.000,-36000.000,178000.000,98000.000,204000.000,88000.000
NetCashProvidedByUsedInFinancingActivities,-1249000.000,,,,-2040000.000,,,,1740000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1249000.000,,,,-2040000.000,,,,1740000.000
NetCashProvidedByUsedInInvestingActivities,12890000.000,,,,-5703000.000,,,,-3499000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,12890000.000,,,,-5703000.000,,,,-3499000.000
NetCashProvidedByUsedInOperatingActivities,-4119000.000,,,,7799000.000,,,,4312000.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-4119000.000,,,,7799000.000,,,,4312000.000
NetIncomeLoss,2749000.000,2445000.000,2204000.000,3957000.000,-203000.000,-1775000.000,819000.000,-1546000.000,-1000000.000
OperatingExpenses,21856000.000,21567000.000,21386000.000,22359000.000,24681000.000,23815000.000,23918000.000,25831000.000,22004000.000
OperatingIncomeLoss,4089000.000,3643000.000,3275000.000,5837000.000,-379000.000,-2814000.000,165000.000,-2317000.000,-1544000.000
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,,,,,99000.000,19000.000,-86000.000,20000.000,54000.000
OtherComprehensiveIncomeLossNetOfTax,,,,,119000.000,1000.000,-96000.000,-68000.000,120000.000
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,,,,,20000.000,-18000.000,-10000.000,-88000.000,66000.000
PaymentsForRepurchaseOfCommonStock,2023000.000,,,,3799000.000,,,,
PaymentsForRestructuring,,,,,,,,,2294000.000
PaymentsToAcquirePropertyPlantAndEquipment,968000.000,,,,984000.000,,,,1594000.000
PaymentsToAcquireShortTermInvestments,998000.000,,,,13219000.000,,,,6405000.000
ProceedsFromIssuanceOfCommonStock,774000.000,,,,1759000.000,,,,1740000.000
ProceedsFromMaturitiesPrepaymentsAndCallsOfShorttermInvestments,14646000.000,,,,8500000.000,,,,4500000.000
ProductWarrantyAccrualPayments,,,,,791000.000,584000.000,671000.000,507000.000,790000.000
ProductWarrantyAccrualPreexistingIncreaseDecrease,,,,,117000.000,-214000.000,-164000.000,-91000.000,-104000.000
ProductWarrantyAccrualWarrantiesIssued,,,,,731000.000,511000.000,798000.000,693000.000,970000.000
ProvisionForDoubtfulAccounts,6000.000,,,,9000.000,,,,71000.000
ResearchAndDevelopmentExpense,6898000.000,6548000.000,7129000.000,7385000.000,8313000.000,7805000.000,8291000.000,7975000.000,6795000.000
RestructuringCharges,96000.000,103000.000,-76000.000,-78000.000,55000.000,1146000.000,947000.000,2650000.000,962000.000
RestructuringCostsAndAssetImpairmentCharges,417000.000,,,,,,,,
RestructuringReserveSettledWithCash,,,,,256000.000,,,,
Revenues,56378000.000,58294000.000,60438000.000,62606000.000,56391000.000,49151000.000,53349000.000,52099000.000,48044000.000
SalesRevenueNet,56378000.000,58294000.000,60438000.000,62606000.000,56391000.000,49151000.000,53349000.000,52099000.000,48044000.000
SellingGeneralAndAdministrativeExpense,14810000.000,14864000.000,14281000.000,14966000.000,16227000.000,14778000.000,14593000.000,15119000.000,14161000.000
ShareBasedCompensation,1163000.000,,,,1772000.000,,,,1554000.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,,,,,0.566,0.568,0.567,-1.133,0.537
ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,,,,,0.007,0.005,0.006,-0.009,0.016
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodTotalIntrinsicValue,,,,,300000.000,141000.000,500000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,,,,,66000.000,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,,,,,104000.000,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,4.970,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsForfeituresInPeriodWeightedAverageExercisePrice,,,,,6.090,,,,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,6.110,,,,
StockIssuedDuringPeriodSharesStockOptionsExercised,,,,,196000.000,,,,
UnrealizedGainLossOnInvestments,-35000.000,,,,,,,,
UnrealizedGainLossOnSecurities,,,,,20000.000,,,,66000.000
WeightedAverageNumberOfDilutedSharesOutstanding,43294000.000,42762000.000,42615000.000,-85974000.000,40510000.000,40356000.000,40956000.000,-81313000.000,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,,,,40863000.000
WeightedAverageNumberOfSharesCommonStockSubjectToRepurchaseOrCancellation,,,,,-316000.000,-364000.000,360000.000,613000.000,397000.000
WeightedAverageNumberOfSharesIssuedBasic,,,,,40826000.000,40720000.000,40862000.000,-81606000.000,41260000.000
WeightedAverageNumberOfSharesOutstandingBasic,42687000.000,42292000.000,41795000.000,-84793000.000,40510000.000,40356000.000,40502000.000,-80859000.000,
