,2011-11-30,2012-02-29
BusinessCombinationIntegrationRelatedCosts,,161000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-144000.000,
CostOfRevenue,5751000.000,5270000.000
DepreciationDepletionAndAmortization,149000.000,
EarningsPerShareBasic,0.010,0.000
EarningsPerShareDiluted,0.010,0.000
GeneralAndAdministrativeExpense,538000.000,547000.000
GrossProfit,2647000.000,2790000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,87000.000,-44000.000
IncomeTaxExpenseBenefit,11000.000,7000.000
IncomeTaxesPaidNet,9000.000,
IncreaseDecreaseInAccountsPayable,-270000.000,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,-24000.000,
IncreaseDecreaseInInventories,106000.000,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-27000.000,
IncreaseDecreaseInReceivables,575000.000,
InterestExpense,68000.000,50000.000
InterestPaid,41000.000,
InventoryWriteDown,130000.000,
NetCashProvidedByUsedInFinancingActivities,482000.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,482000.000,
NetCashProvidedByUsedInInvestingActivities,-97000.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-97000.000,
NetCashProvidedByUsedInOperatingActivities,-529000.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-529000.000,
NetIncomeLoss,76000.000,-51000.000
NonoperatingIncomeExpense,-80000.000,-63000.000
OperatingExpenses,2480000.000,2771000.000
OperatingIncomeLoss,167000.000,19000.000
OtherNonoperatingIncomeExpense,-12000.000,-13000.000
PaymentsForProceedsFromOtherInvestingActivities,-8000.000,
PaymentsToAcquirePropertyPlantAndEquipment,105000.000,
ProceedsFromIssuanceOfCommonStock,1000.000,
ProceedsFromRepaymentsOfLinesOfCredit,500000.000,
ProvisionForDoubtfulAccounts,-26000.000,
RepaymentsOfFirstMortgageBond,15000.000,
ResearchAndDevelopmentExpense,692000.000,771000.000
Revenues,8398000.000,8060000.000
SalesRevenueNet,8398000.000,8060000.000
SellingAndMarketingExpense,1250000.000,1292000.000
ShareBasedCompensation,90000.000,
WeightedAverageNumberOfDilutedSharesOutstanding,11302000.000,11186000.000
WeightedAverageNumberOfSharesOutstandingBasic,10972000.000,11186000.000
