,2012-06-30,2012-09-30,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,123808700.000,,441680054.000,,482820942.000,486606984.000,495832109.000,-960125833.000,494877358.000,303757622.000,303757622.000,-551928192.000,303757622.000,303757622.000,303757622.000,-324688779.000,595734007.000
ConversionOfStockSharesIssued1,,,0.000,,,,,,,,,,,,,,,,
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,,,,,,,325000.000,,,,,,,,,,,,
IncrementalCommonSharesAttributableToConversionOfDebtSecurities,,,13915209.000,,,,,,,,,,,,,,,,
LicensesRevenue,,,,,,,5000000.000,,,,,,,,,,,,
StockIssuedDuringPeriodSharesIssuedForServices,,,0.000,,,,0.000,,0.000,,0.000,,,,,,,,
WeightedAverageNumberDilutedSharesOutstandingAdjustment,,,,,,,13915309.000,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,,309234122.000,,,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,286834649.000,,,,,,,,,,,,,,,,
WeightedAverageNumberOfSharesOutstandingBasic,295318813.000,295318813.000,295318813.000,295318813.000,295318813.000,-590571873.000,298418813.000,303112271.000,303757622.000,-603008398.000,303757622.000,,,,,,,,303757622.000
