,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AccountsPayableCurrent,3698675.000,3852943.000,3413778.000,4604580.000,2396099.000,2405182.000,3139637.000,2685748.000,1759734.000,3193841.000,2044806.000,2464755.000,1510474.000,1224116.000,1377609.000,2172254.000,1232731.000,1626636.000,1880273.000,1966656.000,634245.000,1998121.000,1415050.000
AccountsReceivableNetCurrent,5256655.000,4374473.000,4160352.000,5326537.000,4812802.000,3276762.000,3618466.000,12185162.000,3410343.000,4243410.000,2349391.000,3160887.000,2770956.000,2985548.000,2776760.000,2823980.000,2911685.000,2514127.000,3535972.000,3530854.000,3259979.000,3678523.000,2949894.000
AccruedBonusesCurrent,,,,180865.000,,,,845762.000,,,,37500.000,,,,71381.000,,85837.000,190458.000,147450.000,42404.000,67581.000,12000.000
AccruedLiabilitiesCurrent,2095894.000,2355469.000,1924258.000,2374424.000,2033936.000,1808902.000,1943386.000,4705454.000,2013613.000,2684302.000,3547273.000,3853473.000,1975376.000,2275342.000,1780750.000,1575027.000,1458095.000,2440045.000,1751750.000,1601652.000,1590053.000,1168773.000,1263515.000
AccruedProfessionalFeesCurrent,,,,191986.000,,,,2234584.000,,,,79900.000,,,,70000.000,,61500.000,77500.000,127329.000,77800.000,92500.000,75750.000
AccruedSalesCommissionCurrent,,,,172346.000,,,,197914.000,,,,148278.000,,,,68890.000,,52429.000,60194.000,70050.000,62274.000,45567.000,92104.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,5383024.000,,,,6223248.000,,,,7066840.000,,,,7621689.000,,,,7371324.000,,,
AdditionalPaidInCapitalCommonStock,2269087.000,2406344.000,2506987.000,2625039.000,2773541.000,2918980.000,3065572.000,3263608.000,3448570.000,3620392.000,3792869.000,3996242.000,4158829.000,4314733.000,4470743.000,4626781.000,4742785.000,4872189.000,4993446.000,5070956.000,5159479.000,5248001.000,5336524.000
AllowanceForDoubtfulAccountsReceivableCurrent,287591.000,293000.000,16197.000,31559.000,34228.000,40180.000,33009.000,43405.000,61322.000,76900.000,60815.000,20501.000,28560.000,44710.000,35865.000,20501.000,11370.000,12929.000,6621.000,55175.000,54689.000,54237.000,51416.000
Assets,28545340.000,28326678.000,27920666.000,28748909.000,28529382.000,27001962.000,26952729.000,35226657.000,29313632.000,27550487.000,26132476.000,24389958.000,22881423.000,21879310.000,21566867.000,22427013.000,21750356.000,23223380.000,23768367.000,24120471.000,22943972.000,24118184.000,22595212.000
AssetsCurrent,16114745.000,16259694.000,14735421.000,16123283.000,16119397.000,15429925.000,15831527.000,25183012.000,19073132.000,18625125.000,16753022.000,15948729.000,14021358.000,13010976.000,12720792.000,13605577.000,12699407.000,14068941.000,14876564.000,13726338.000,12221573.000,13407232.000,12086700.000
CapitalizedComputerSoftwareAccumulatedAmortization,,,,,507407.000,905333.000,1303259.000,,2065725.000,,,,,,,,,,,,,,
