,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
ExpenseRelatedToDistributionOrServicingAndUnderwritingFees,2699224.000,2688936.000,1702782.000,1623993.000,1501059.000,1314718.000,1185834.000,1063878.000,827766.000,698396.000,526250.000,,
FloorBrokerageExchangeAndClearanceFees,630498.000,520301.000,313758.000,290431.000,228532.000,182659.000,145234.000,347663.000,296160.000,162757.000,217351.000,,
GainLossOnDerivativeInstrumentsHeldForTradingPurposesNet,,,,,,,,-6263312.000,-2012358.000,,,,
GainLossOnSaleOfDerivatives,1169146.000,16799041.000,-694571.000,355636.000,1093559.000,-3436411.000,-414883.000,-5385874.000,-3021769.000,3385555.000,789177.000,,
IncomeLossAttributableToParent,,16692303.000,-16282682.000,-229443.000,-3396176.000,-10922919.000,-3939795.000,-13234871.000,-5622815.000,4312077.000,-4779610.000,569049.000,
IncomeTaxExpenseBenefit,,,,,,,0.000,,,,0.000,,
InterestIncomeOperating,62914.000,45666.000,59627.000,59731.000,50912.000,49321.000,32551.000,19959.000,6992.000,7670.000,3402.000,,
InvestmentIncomeNet,,,,,,,,,-1847491.000,,-1065447.000,,
NetRealizedOrUnrealizedGainLossOnTradingSecurities,,,,-66708.000,2068507.000,,2319951.000,,,,138397.000,3484182.000,768763.000
NoninterestExpenseDistributionAndServicingFees,276940.000,270703.000,206454.000,210737.000,189800.000,149240.000,147299.000,116160.000,80475.000,107195.000,91040.000,,
NoninterestExpenseInvestmentAdvisoryFees,1383318.000,1376669.000,785472.000,767070.000,721888.000,669289.000,611553.000,539369.000,418390.000,335086.000,219019.000,,
NoninterestExpenseRelatedToPerformanceFees,318793.000,1699540.000,140332.000,131638.000,-18496.000,101696.000,54190.000,-47674.000,300.000,158039.000,,,
OperatingExpenses,6077381.000,7426022.000,3823483.000,3698383.000,3323973.000,3122931.000,2667318.000,2329548.000,1854483.000,1700481.000,1068849.000,,
OtherExpenses,116344.000,115447.000,67334.000,68635.000,53893.000,24453.000,37479.000,82918.000,73069.000,71669.000,67341.000,,
PartnersCapitalAccountContributions,,,10618348.000,,,,1965986.000,,,,320000.000,,
PartnersCapitalAccountRedemptions,,,22756306.000,,,,24116826.000,,,,15152141.000,,
PartnersCapitalAccountUnitsContributed,,,,,,,2071166.000,,,,368509.000,,
PartnersCapitalAccountUnitsRedeemed,,,,,,,24399436.000,,,,16422728.000,,
ProfessionalFees,147599.000,143693.000,206133.000,214383.000,245320.000,310793.000,132130.000,127095.000,105803.000,35818.000,91430.000,,
ProfitLoss,-13551965.000,,,,,,,,,,,,
RevenuesExcludingInterestAndDividends,-7537498.000,24072659.000,-12518826.000,3409209.000,-123115.000,-7849309.000,-1305028.000,-10925282.000,-3775324.000,6004888.000,-3714163.000,,
SponsorFees,1135163.000,1131034.000,714976.000,681927.000,630509.000,552742.000,498833.000,447802.000,348680.000,294278.000,221840.000,,
TradingSecuritiesRealizedGainLoss,,,,355636.000,1093559.000,,-414883.000,,,,789177.000,3485743.000,2661417.000
TradingSecuritiesUnrealizedHoldingGainLoss,,,,-422344.000,974948.000,,2734834.000,,,,-650780.000,-1561.000,-1892654.000
UnrealizedGainLossOnDerivatives,-5858980.000,5548929.000,-2804583.000,-422344.000,974948.000,-1980539.000,2734834.000,-877438.000,1009411.000,-5478.000,-650780.000,,
UnrealizedGainLossOnInvestments,-2217166.000,2244990.000,-8705914.000,3766348.000,-1963090.000,-2249700.000,-3479745.000,-4314307.000,-1466806.000,2787568.000,-3635209.000,,
