,2011-04-30,2011-07-30,2011-10-29,2012-01-28,2012-04-28,2012-07-28,2012-10-27,2013-05-04,2013-08-03,2013-11-02,2014-02-01,2014-05-03,2014-08-02,2014-11-01,2015-01-31,2015-05-02,2015-08-01,2015-10-31,2016-01-30,2016-04-30,2016-07-30,2016-10-29,2017-01-28,2017-04-29
AmortizationOfFinancingCostsAndDiscounts,4000000.000,,,,-5000000.000,,,2000000.000,,,,-2000000.000,,,,-1000000.000,,,,-1000000.000,,,,0.000
AssetImpairmentCharges,,,,,,,,,,,,,,,,,,111000000.000,,,,,,
CapitalizedComputerSoftwareAdditions,-33000000.000,,,,-46000000.000,,,-50000000.000,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-312000000.000,,,,-936000000.000,,,-84000000.000,,,,-395000000.000,,,,-737000000.000,,,,-375000000.000,,,,-96000000.000
ComprehensiveIncomeNetOfTax,,,,,204000000.000,303000000.000,169000000.000,241000000.000,305000000.000,201000000.000,1005000000.000,228000000.000,296000000.000,220000000.000,375000000.000,201000000.000,224000000.000,125000000.000,551000000.000,108000000.000,-6000000.000,62000000.000,602000000.000,77000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,-1000000.000,,-1000000.000,-2000000.000,-2000000.000,-3000000.000,-1000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,,,,,,,,,124000000.000,,107000000.000,-8000000.000,60000000.000,599000000.000,76000000.000
CostOfGoodsAndServicesSold,3586000000.000,3457000000.000,3544000000.000,5151000000.000,3757000000.000,3555000000.000,3672000000.000,3911000000.000,3533000000.000,3817000000.000,5464000000.000,3836000000.000,3672000000.000,3766000000.000,5589000000.000,3800000000.000,3610000000.000,3537000000.000,5549000000.000,3516000000.000,3468000000.000,3386000000.000,5251000000.000,3306000000.000
DebtInstrumentDecreaseRepayments,330000000.000,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanContributionsByEmployer,225000000.000,,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,,,,,,,,,,,,,,-13000000.000,-6000000.000,-62000000.000,-17000000.000,0.000
DefinedContributionPlanCostRecognized,,,,,,,,,,,,25000000.000,25000000.000,21000000.000,,23000000.000,24000000.000,22000000.000,,24000000.000,,,,
DepreciationDepletionAndAmortization,268000000.000,,,,256000000.000,,,251000000.000,,,,253000000.000,,,,259000000.000,,,,260000000.000,,,,243000000.000
EarningsPerShareBasic,0.310,0.560,0.330,1.760,0.430,0.680,0.360,0.560,0.730,0.470,2.170,0.610,0.810,0.620,2.260,0.570,0.650,0.360,1.680,0.370,0.030,0.050,1.560,0.230
EarningsPerShareDiluted,0.300,0.550,0.320,1.750,0.430,0.670,0.360,0.550,0.720,0.470,2.120,0.600,0.800,0.610,2.210,0.560,0.640,0.360,1.660,0.370,0.030,0.050,1.540,0.230
ExtinguishmentOfDebtAmount,,,,,,,,,,,,,,,,,,,,,,,,146000000.000
GainLossOnSaleOfPropertyPlantEquipment,,,,,,,,,,,,,,,,,,,,,,,,68000000.000
GainsLossesOnExtinguishmentOfDebt,,,,,-4000000.000,,,,,,,,,,,,,,,,,,,-3000000.000
GrossProfit,2303000000.000,2482000000.000,2309000000.000,3573000000.000,2386000000.000,2563000000.000,2403000000.000,2476000000.000,2533000000.000,2459000000.000,3738000000.000,2443000000.000,2595000000.000,2429000000.000,3775000000.000,2432000000.000,2494000000.000,2337000000.000,3320000000.000,2255000000.000,2398000000.000,2240000000.000,3264000000.000,2032000000.000
ImpairmentOfLongLivedAssetsHeldForUse,,,,,,,,,,,,,,,,,,111000000.000,,,,,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,214000000.000,395000000.000,183000000.000,1176000000.000,279000000.000,449000000.000,222000000.000,338000000.000,438000000.000,264000000.000,1250000000.000,343000000.000,471000000.000,326000000.000,1250000000.000,314000000.000,343000000.000,178000000.000,843000000.000,178000000.000,20000000.000,26000000.000,728000000.000,133000000.000
IncomeLossFromEquityMethodInvestments,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
IncomeTaxExpenseBenefit,83000000.000,154000000.000,44000000.000,431000000.000,98000000.000,170000000.000,77000000.000,121000000.000,157000000.000,87000000.000,439000000.000,119000000.000,179000000.000,109000000.000,457000000.000,121000000.000,126000000.000,61000000.000,300000000.000,63000000.000,11000000.000,11000000.000,256000000.000,63000000.000
