,2012-01-31,2012-04-30
FinancingInterestExpense,-41207.000,-46697.000
ForeignCurrencyTransactionGainLossRealized,39.000,3.000
GeneralAndAdministrativeExpense,94053.000,101546.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,0.000,-0.000
IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,,-148286.000
InterestAndDebtExpense,-41168.000,-46694.000
NetIncomeLoss,-135269.000,-148286.000
OperatingExpenses,94101.000,101592.000
OperatingIncomeLoss,-94101.000,-101592.000
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,-121741.000,-145484.000
OtherDepreciationAndAmortization,48.000,46.000
TemporaryEquityForeignCurrencyTranslationAdjustments,13528.000,2802.000
WeightedAverageNumberOfSharesOutstandingBasic,62503894.000,62503894.000
