,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,1500000.000,900000.000,0.000,100000.000,100000.000
EarningsPerShareBasic,1.190,1.250,1.300,1.210,1.120
EarningsPerShareDiluted,1.190,1.250,1.300,1.210,1.120
GainLossOnSaleOfPropertiesNetOfApplicableIncomeTaxes,0.000,0.000,,,
IncomeLossFromContinuingOperations,193000000.000,203000000.000,,,
IncomeLossFromContinuingOperationsPerBasicShare,1.190,1.250,,,
IncomeLossFromContinuingOperationsPerDilutedShare,1.190,1.250,,,
NetIncomeLoss,193000000.000,203000000.000,214000000.000,214000000.000,197000000.000
WeightedAverageNumberOfDilutedSharesOutstanding,162000000.000,161900000.000,165000000.000,177000000.000,175200000.000
WeightedAverageNumberOfSharesOutstandingBasic,161700000.000,161500000.000,164600000.000,176700000.000,174900000.000
