,2013-09-30
CostOfGoodsSold,766792.000
EarningsPerShareBasicAndDiluted,-0.003
GeneralAndAdministrativeExpense,3370370.000
GrossProfit,-681829.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-4393278.000
InterestExpense,-201014.000
NetIncomeLoss,-3815424.000
NetIncomeLossAttributableToNoncontrollingInterest,-577854.000
NonoperatingIncomeExpense,201014.000
OperatingCostsAndExpenses,3510435.000
OperatingIncomeLoss,-4192264.000
ProfitLoss,-4393278.000
Revenues,84963.000
SalesRevenueNet,84963.000
SellingAndMarketingExpense,140128.000
StockIssuedDuringPeriodSharesIssuedForServices,129000000.000
StockIssuedDuringPeriodValueIssuedForServices,903000.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,1174504526.000
