,2012-06-30,2012-09-30,2013-03-31
AccruedSalesCommissionCurrentAndNoncurrent,,,33341.000
Assets,4033634.000,4391462.000,4014699.000
AssetsNet,3971379.000,,3630771.000
CashAndCashEquivalentsAtCarryingValue,,,3902589.000
CashEquivalentsAtCarryingValue,,,2662659.000
CommonUnitOutstanding,,,1407.003
Liabilities,62255.000,46867.000,383928.000
LimitedPartnersCapitalAccount,,,3630771.000
LimitedPartnersCapitalAccountUnitsOutstanding,1410.210,1530.510,1407.003
LimitedPartnersCapitalAccountValue,3971379.000,4344595.000,
OtherAccruedLiabilities,15621.000,22428.000,
OtherAccruedLiabilitiesCurrentAndNoncurrent,,,24493.000
PartnersCapital,,,3630771.000
PrepaidExpense,3925.000,10670.000,
PrepaidExpenseCurrentAndNoncurrent,,,9420.000
