,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
AssetImpairmentCharges,,,0.000,,
AssetRetirementObligationAccretionExpense,158100.000,148300.000,161600.000,169100.000,234900.000
AssetRetirementObligationLiabilitiesSettled,,,,100.000,
AssetRetirementObligationRevisionOfEstimate,117300.000,-87300.000,-284500.000,1087300.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,-35000.000,-65300.000,28300.000,-43500.000,
ComprehensiveIncomeNetOfTax,-2227500.000,-678500.000,15900.000,-310600.000,-2322900.000
CostsAndExpenses,,1919000.000,1701300.000,1769500.000,2915700.000
DepletionOfOilAndGasProperties,762000.000,439900.000,365500.000,133700.000,187800.000
DerivativeGainLossOnDerivativeNet,,,,,21300.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,3800.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,,,798100.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,,,7438400.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,,,2541200.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts1,,,-4897200.000,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,,,1743100.000,,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,1054200.000,437600.000,,,
GainLossOnFairValueHedgeIneffectivenessNet,,0.000,0.000,0.000,
GainLossOnSaleOfDerivatives,,,,-15700.000,15400.000
GeneralAndAdministrativeExpense,210000.000,195300.000,180300.000,168900.000,158500.000
GeneralPartnerDistributions,207500.000,0.000,,,
GrossProfit,,297700.000,712300.000,502900.000,-128600.000
ImpairmentOfLongLivedAssetsHeldForUse,1836900.000,162600.000,,,
ImpairmentOfOilAndGasProperties,1868400.000,,,,
IncreaseDecreaseDueFromAffiliates,-101400.000,-113500.000,56500.000,-125500.000,-115100.000
IncreaseDecreaseInAccruedLiabilities,-4500.000,-7300.000,7200.000,1000.000,1400.000
IncreaseDecreaseInAssetRetirementObligations,,,,-100.000,
IncreaseDecreaseInDueToAffiliates,,,,,185800.000
InterestIncomeOperating,0.000,,,,
NaturalGasProductionRevenue,814700.000,,,,
NetCashProvidedByUsedInFinancingActivities,-1054200.000,-437600.000,-538400.000,-478600.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-1054200.000,-437600.000,-538400.000,-478600.000,
NetCashProvidedByUsedInInvestingActivities,,7600.000,,2200.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,7600.000,,2200.000,
NetCashProvidedByUsedInOperatingActivities,1019200.000,364700.000,566700.000,432900.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,1019200.000,364700.000,566700.000,432900.000,
NetIncomeLoss,-2152300.000,-648400.000,4900.000,-323400.000,-2317600.000
NetIncomeLossAllocatedToGeneralPartners,-563700.000,-189700.000,600.000,-145900.000,-1014600.000
NetIncomeLossAllocatedToLimitedPartners,-1588600.000,-458700.000,4300.000,-177500.000,-1303000.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-304.000,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,1.000,-34.000,-249.000
OilAndGasProductionExpense,1118000.000,972900.000,993900.000,943200.000,705400.000
OilAndGasRevenue,1932700.000,1270600.000,1706200.000,1446100.000,598100.000
OilAndGasSalesRevenue,,,,,576800.000
OperatingCostsAndExpenses,4085000.000,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesBeforeTaxPeriodIncreaseDecrease,-75200.000,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesBeforeTax,,-30100.000,11000.000,,
OtherComprehensiveIncomeLossNetOfTax,,,,12800.000,-5300.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,50500.000,19900.000,3800.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,6700.000,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,9800.000,-7900.000,-12900.000,,
OtherNoncashExpense,286100.000,156100.000,84000.000,,
PartnersCapitalAccountDistributions,1261700.000,437600.000,538400.000,478600.000,
PaymentsOfCapitalDistribution,,,538400.000,478600.000,
PriceRiskCashFlowHedgeGainOrLossReclassifiedToEarningsNet,-190900.000,-97100.000,,,
ProceedsFromSaleOfOilAndGasPropertyAndEquipment,,7600.000,,2200.000,
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,1174200.000,,
RelatedPartyTransactionSellingGeneralAndAdministrativeExpensesFromTransactionsWithRelatedParty,,127600.000,,,
ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,,439900.000,365500.000,,
ResultsOfOperationsImpairmentOfOilAndGasProperties,,162600.000,,354600.000,1629100.000
ResultsOfOperationsIncomeBeforeIncomeTaxes,,-304800.000,346800.000,14600.000,-1945500.000
ResultsOfOperationsProductionOrLiftingCosts,,972900.000,993900.000,,
ResultsOfOperationsRevenueFromOilAndGasProducingActivities,1932700.000,1270600.000,1706200.000,1446100.000,
