,2011-09-30,2011-12-31
AccountsPayableCurrent,189200.000,191300.000
AccountsReceivableNetCurrent,134200.000,87500.000
AdditionalPaidInCapitalCommonStock,237000.000,237500.000
Assets,2627100.000,2554900.000
AssetsCurrent,1368500.000,1296200.000
CapitalizedComputerSoftwareNet,451400.000,470300.000
CashAndCashEquivalentsAtCarryingValue,64100.000,10900.000
CommonStockSharesAuthorized,10000000.000,10000000.000
CommonStockSharesIssued,8068700.000,8918166.000
CommonStockSharesOutstanding,8068700.000,8918166.000
CommonStockValue,19371200.000,19516200.000
DeferredRentCreditNoncurrent,50200.000,48200.000
DueToRelatedPartiesCurrent,174000.000,374000.000
EmployeeRelatedLiabilitiesCurrent,115700.000,100300.000
InventoryNet,1073200.000,1086100.000
Liabilities,618000.000,787200.000
LiabilitiesAndStockholdersEquity,2627100.000,2554900.000
LiabilitiesCurrent,567800.000,739000.000
OtherAccruedLiabilitiesCurrent,37500.000,40600.000
OtherAssetsNoncurrent,22100.000,22100.000
PreferredStockSharesAuthorized,1000000.000,1000000.000
PrepaidExpenseCurrent,97000.000,111700.000
PropertyPlantAndEquipmentNet,785100.000,766300.000
RetainedEarningsAccumulatedDeficit,-17599100.000,-17986000.000
ShortTermBankLoansAndNotesPayable,51400.000,32800.000
StockholdersEquity,2009100.000,1767700.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,2009100.000,1767700.000
