,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-06-30
AssetManagementCosts,310107.000,78879.000,51102.000,43124.000,38854.000,28971.000,24490.000,19330.000,7934.000,2719.000
DerivativeGainLossOnDerivativeNet,,-54615.000,-129472.000,112344.000,-393338.000,191012.000,-140739.000,-189548.000,-26185.000,
FloorBrokerageExchangeAndClearanceFees,713952.000,132002.000,88395.000,60066.000,53809.000,40352.000,35894.000,29216.000,12687.000,0.000
GeneralAndAdministrativeExpense,54600.000,32130.000,16926.000,7995.000,11012.000,10534.000,10232.000,10382.000,-5348.000,4819.000
InterestIncomeOperating,2126.000,2369.000,1436.000,1125.000,709.000,440.000,40.000,0.000,359.000,142.000
InvestmentBankingAdvisoryBrokerageAndUnderwritingFeesAndCommissions,,,,,,,,,,0.000
InvestmentIncomeNet,-1138557.000,-266784.000,-197086.000,-152375.000,-101848.000,-98980.000,-107876.000,-93571.000,-57773.000,-68926.000
ManagementFeesRevenue,,,,,,8548.000,6890.000,,,
MarketingExpense,,,,,,,,,,1254.000
NetIncomeLoss,-1240466.000,-321399.000,-326558.000,-40031.000,-495186.000,92032.000,-248615.000,-283119.000,-83958.000,-68926.000
OperatingExpenses,1140683.000,269153.000,198522.000,153500.000,102557.000,99420.000,107916.000,93571.000,58132.000,69068.000
PartnersCapitalAccountContributions,,154828.000,,,,,,,,
PartnersCapitalAccountRedemptions,,-4922428.000,,,,,,,,
ProfessionalFees,62024.000,26142.000,42099.000,42315.000,-1118.000,19563.000,37300.000,34643.000,34385.000,47513.000
SalesCommissionsAndFees,,,,,,,,,,7974.000
ServiceManagementCosts,,,,,,,,,,4789.000
StockIssuedDuringPeriodValueNewIssues,,,,,,3637.000,,,,
StockRedeemedOrCalledDuringPeriodValue,,,,,,-732395.000,,,,
TemporaryEquityForeignCurrencyTranslationAdjustments,,,504.000,-151.000,,1777.000,-1048.000,-298.000,56.000,
TradingActivityGainsAndLossesNet,-101909.000,,,,,,,,,
TradingSecuritiesRealizedGainLoss,-925144.000,,,,,,,,,
