,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalOther,100.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,29492.000,-50658.000,-3591.000,0.000
CashPeriodIncreaseDecrease,1158.000,-72024.000,,,,
ComprehensiveIncomeNetOfTax,,,-643790.000,,1761796.000,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,-99858.000,-34559.000,,
ContributionsFromNoncontrollingInterests,,,242754.000,,,
CostOfRevenue,18756.000,,5548.000,7898.000,6300.000,0.000
Depreciation,,,4799.000,6436.000,,
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,,,,,,0.000
EarningsPerShareBasicAndDiluted,-0.000,-0.010,-0.010,-0.010,0.030,-0.230
EffectOfExchangeRateOnCashAndCashEquivalents,,,3074.000,-30.000,,
EffectiveIncomeTaxRateContinuingOperations,,0.000,0.000,0.000,0.000,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340,0.340,0.340,0.340,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,0.165,-0.340,-0.340,0.340,
EffectiveIncomeTaxRateReconciliationTaxCreditsForeign,,0.165,,,,
EffectiveIncomeTaxRateReconciliationTaxExemptIncome,,0.340,,,,
EquityMethodInvestmentRealizedGainLossOnDisposal,,,,126848.000,2121795.000,
GainLossOnSaleOfBusiness,,,,-126848.000,,
GeneralAndAdministrativeExpense,121127.000,615279.000,738685.000,612547.000,343920.000,158124.000
GrossProfit,2481.000,,556.000,614.000,495.000,0.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,-118693.000,,,,,
IncomeTaxesPaid,,,,,,0.000
IncreaseDecreaseInAccountsPayable,18757.000,-1.000,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,477840.000,,,,
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities,52535.000,,,,,
IncreaseDecreaseInDueFromRelatedParties,,,6544.000,,,
IncreaseDecreaseInOtherAccountsPayableAndAccruedLiabilities,,,481124.000,410939.000,227167.000,158124.000
IncreaseDecreaseInOtherCurrentAssets,-33.000,,9299.000,-7046.000,,
InterestExpense,,,6806.000,26509.000,16267.000,0.000
InterestPaid,,,,,,0.000
MinorityInterestIncreaseFromStockIssuance,,,242754.000,,,
NetCashProvidedByUsedInFinancingActivities,48592.000,64389.000,727059.000,170627.000,131328.000,0.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,48592.000,64389.000,727059.000,170627.000,131328.000,0.000
NetCashProvidedByUsedInInvestingActivities,,,-425275.000,-7120.000,-2087.000,0.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-425275.000,-7120.000,-2087.000,0.000
NetCashProvidedByUsedInOperatingActivities,-47434.000,-136413.000,-275366.000,-214135.000,-132832.000,0.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-47434.000,-136413.000,-275366.000,-214135.000,-132832.000,0.000
NetIncomeLoss,-118693.000,-614252.000,-644599.000,-476273.000,1761796.000,
NetIncomeLossAttributableToNoncontrollingInterest,,,-100847.000,-35435.000,,
NonoperatingIncomeExpense,,,,-26623.000,-16574.000,0.000
NotesIssued1,,,,,,79468.000
OperatingExpenses,121127.000,615279.000,738685.000,485699.000,,0.000
OperatingIncomeLoss,-118646.000,-615279.000,-738129.000,-485085.000,1778370.000,-158124.000
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,,,1798.000,1592.000,,
OtherComprehensiveIncomeLossNetOfTax,,,-743648.000,-510116.000,1761796.000,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,,-475557.000,,
OtherExpenses,,,,114.000,307.000,
OtherNonoperatingIncomeExpense,-47.000,1027.000,-511.000,,,0.000
OtherOperatingIncomeExpenseNet,,,-7317.000,,,
PaymentsForProceedsFromBusinessesAndInterestInAffiliates,,,,3949.000,,
PaymentsForProceedsFromPreviousAcquisition,,,,,2087.000,0.000
PaymentsToAcquirePropertyPlantAndEquipment,,,425275.000,3171.000,,
ProceedsFromCollectionOfOtherReceivables,100.000,,,,,
ProceedsFromRelatedPartyDebt,48492.000,64389.000,484305.000,170627.000,131328.000,0.000
ProfitLoss,-118693.000,,-745446.000,-511708.000,1761796.000,-158124.000
Revenues,21237.000,,6104.000,8512.000,6795.000,0.000
SalesRevenueNet,21237.000,,6104.000,8512.000,6795.000,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,63058558.000,69703480.000,69703480.000,69703480.000,69703480.000,697043.000
