,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccountsPayableAndAccruedLiabilitiesCurrent,86858000.000,82504000.000,80818000.000,86628000.000,87597000.000,89242000.000,67744000.000,72064000.000,70840000.000,26947000.000,22818000.000
AccountsPayableCurrent,,,,,,,35697000.000,,,,15439000.000
AccountsReceivableNetCurrent,94084000.000,89736000.000,83479000.000,91358000.000,90709000.000,89907000.000,65291000.000,77619000.000,73343000.000,21406000.000,17873000.000
AccruedSalariesCurrent,,,,,,,7350000.000,,,,1302000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,112896000.000,,,,28148000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,6500000.000,4034000.000,4807000.000,4872000.000,4760000.000,4891000.000,4884000.000,5926000.000,4812000.000,5680000.000,-3765000.000
AdditionalPaidInCapitalCommonStock,5094000.000,5209000.000,5334000.000,5404000.000,5504000.000,5606000.000,5708000.000,5723000.000,5815000.000,5857000.000,5837000.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,2500000.000,,,,400000.000
Assets,267129000.000,255999000.000,242068000.000,252132000.000,252655000.000,254471000.000,238497000.000,278307000.000,255461000.000,181429000.000,93578000.000
AssetsCurrent,104059000.000,100548000.000,96730000.000,107030000.000,103806000.000,101805000.000,87183000.000,142763000.000,124626000.000,126206000.000,35838000.000
AssetsHeldForSaleAtCarryingValue,,,,,2200000.000,2200000.000,,2100000.000,1400000.000,,
AssetsHeldForSaleLongLived,,,,,,,2100000.000,,,,
AssetsNoncurrent,,,,,,,151314000.000,,,,
AssetsOfDisposalGroupIncludingDiscontinuedOperation,,,,,,,22824000.000,,,75563000.000,
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,,,,,,,11436000.000,,,75563000.000,
AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,,,,,,,11388000.000,,,,
BankOverdrafts,511000.000,1990000.000,,,,521000.000,,,,,
CapitalLeaseObligations,,,,,,,6299000.000,,,,5953000.000
CashAndCashEquivalentsAtCarryingValue,,,1204000.000,2177000.000,1311000.000,,233000.000,54576000.000,41235000.000,25904000.000,14176000.000
CommonStockSharesIssued,16330041.000,16331241.000,16331241.000,16399241.000,16399241.000,16399241.000,16399241.000,16432241.000,16432241.000,16432241.000,16465241.000
CommonStockSharesOutstanding,16330041.000,16331241.000,16331241.000,16399241.000,16399241.000,16399241.000,16399241.000,16432241.000,16432241.000,16432241.000,16465241.000
CommonStockValue,99743000.000,99746000.000,99746000.000,99954000.000,99954000.000,99954000.000,99954000.000,100204000.000,100204000.000,100204000.000,100427000.000
DebtAndCapitalLeaseObligations,,,,,,,105336000.000,,,,52097000.000
DeferredIncomeTaxLiabilities,,,,,,,12091000.000,,,,1310000.000
DeferredTaxAssetsGoodwillAndIntangibleAssets,,,,,,,19812000.000,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,,,-1175000.000,,,,-270000.000
DeferredTaxAssetsNetCurrent,114000.000,105000.000,175000.000,175000.000,172000.000,178000.000,92000.000,91000.000,87000.000,89000.000,105000.000
DeferredTaxAssetsNetNoncurrent,,,,,,,10916000.000,,,,1040000.000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,42138000.000,,,,21130000.000
DeferredTaxAssetsOther,,,,,,,7582000.000,,,,390000.000
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,,,581000.000,,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther,,,,,,,4692000.000,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,52600000.000,,20500000.000
DeferredTaxAssetsValuationAllowanceCurrent,,,,,,,5273000.000,,,,
DeferredTaxAssetsValuationAllowanceNoncurrent,,,,,,,58616000.000,,,,20480000.000
DeferredTaxLiabilitiesDeferredExpenseDeferredFinancingCosts,,,,,,,80000.000,,,,5000.000
DeferredTaxLiabilitiesNoncurrent,1470000.000,922000.000,1061000.000,1036000.000,1047000.000,1080000.000,1175000.000,957000.000,997000.000,999000.000,270000.000
DeferredTaxLiabilitiesOther,,,,,,,6140000.000,,,,
