,2015-12-31,2016-12-31
AdvertisingExpense,950905.000,373350.000
AmortizationOfFinancingCosts,77781.000,
CashAndCashEquivalentsPeriodIncreaseDecrease,51847.000,-163118.000
CurrentFederalStateAndLocalTaxExpenseBenefit,0.000,0.000
CurrentFederalTaxExpenseBenefit,0.000,0.000
CurrentStateAndLocalTaxExpenseBenefit,0.000,0.000
DebtInstrumentRedemptionPricePercentageOfPrincipalAmountRedeemed,0.100,
DeferredFederalIncomeTaxExpenseBenefit,0.000,0.000
DeferredFederalStateAndLocalTaxExpenseBenefit,0.000,0.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,0.000,0.000
Depreciation,14124.000,8618.000
DepreciationAndAmortization,14124.000,8618.000
DividendsPreferredStock,-311056.000,-35517.000
DividendsPreferredStockPaidinkind,-220974.000,-35517.000
EarningsPerShareBasicAndDiluted,-0.250,-0.600
EffectiveIncomeTaxRateContinuingOperations,0.000,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,0.340,0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.340,0.283
EffectiveIncomeTaxRateReconciliationNondeductibleExpense,0.000,0.057
FeesAndCommissions,,1.000
FinancingReceivableAllowanceForCreditLossesRecovery,1134518.000,1865362.000
FinancingReceivableAllowanceForCreditLossesWriteOffs,746106.000,1638296.000
GainLossOnDispositionOfAssets,-12582.000,
GainLossOnDispositionOfAssets1,,-571.000
IncomeTaxExpenseBenefit,0.000,0.000
IncomeTaxesPaidNet,,2134.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,452285.000,74118.000
IncreaseDecreaseInDeferredCompensation,118412.000,
IncreaseDecreaseInDeferredLiabilities,-16906.000,-11522.000
IncreaseDecreaseInDepositOtherAssets,-3490.000,
IncreaseDecreaseInDeposits,,28369.000
IncreaseDecreaseInOtherReceivables,50380.000,8589.000
IncreaseDecreaseInPrepaidExpense,7276.000,5679.000
InterestExpenseOther,527921.000,
InterestPaid,508800.000,
LeaseAndRentalExpense,244621.000,178678.000
NetCashProvidedByUsedInFinancingActivities,8068440.000,3730070.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,8068440.000,3730070.000
NetCashProvidedByUsedInInvestingActivities,-4057025.000,-1115567.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-4057025.000,-1115567.000
NetCashProvidedByUsedInOperatingActivities,-3959568.000,-2777621.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-3959568.000,-2777621.000
NetIncomeLoss,-5698198.000,-4728869.000
NetIncomeLossAvailableToCommonStockholdersBasic,-6009254.000,-4764386.000
NonoperatingIncomeExpense,-520754.000,12278.000
OperatingExpenses,7012609.000,6876194.000
OperatingIncomeLoss,-5177444.000,-4741147.000
OtherGeneralExpense,1399157.000,1561045.000
OtherSalesRevenueNet,45464.000,48070.000
PaymentsForProceedsFromLoansReceivable,-1438946.000,-2004433.000
PaymentsToAcquirePropertyPlantAndEquipment,19117.000,
PreferredStockAccretionOfRedemptionDiscount,-160000.000,
PreferredStockDividendRatePerDollarAmount,1.000,
PreferredStockRedemptionDiscount,160000.000,
ProceedsFromIssuanceOfCommonStock,4579414.000,3728686.000
ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,6100000.000,246000.000
ProceedsFromSaleOfLoansReceivable,-5381851.000,-3120000.000
ProceedsFromShortTermDebt,400000.000,
ProfessionalFees,1013690.000,1154465.000
ProvisionForLoanLeaseAndOtherLosses,1134518.000,1865362.000
RepaymentsOfLinesOfCredit,3000000.000,3000000.000
RepaymentsOfSeniorDebt,2230000.000,
RepaymentsOfShortTermDebt,400000.000,
Revenues,1835165.000,2135046.000
SalariesWagesAndOfficersCompensation,2126243.000,1592990.000
SaleLeasebackTransactionMonthlyRentalPayments,,4693.000
SaleOfStockConsiderationReceivedOnTransaction,134378.000,
SaleOfStockNumberOfSharesIssuedInTransaction,671890.000,
SalesRevenueGoodsNet,1789701.000,2086976.000
SalesRevenueNet,1835165.000,2135046.000
StockIssuedDuringPeriodSharesNewIssues,4460464.000,
StockIssuedDuringPeriodValueNewIssues,,3867188.000
StockIssuedDuringPeriodValueOther,,-209099.000
TravelAndEntertainmentExpense,129351.000,141686.000
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,0.000,0.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,23812576.000,7918922.000
