,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30
CashAndCashEquivalentsAtCarryingValue,,,,,,,1300000.000,,,,,,,,,,,,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,,,,0.000,0.000,,,,
ClassOfWarrantOrRightOutstanding,,,,,,,,,,,,,,,,,86848002.000,86848002.000,86848002.000,86848002.000
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions,,,,1058907.000,,,,,,,,,,,,,,,,
RetainedEarningsAccumulatedDeficit,,,,,,,-118800000.000,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,,,,,,98325.000,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,,,,,1210000.000,,,,1574185.000,1588635.000,1589237.000,1589857.000,1951912.000,1974907.000,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,13436811.000,220603.000,200539.000,16341.000,,,443557.000,101331.000,133875.000,412014.000,944283.000,921924.000,,,452029.000,412896.000,805292.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,169247.000,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,10355243.000,969000.000,989064.000,1173262.000,1180259.000,1142769.000,1130628.000,1487304.000,1455362.000,1177843.000,1007629.000,1052983.000,1333835.000,1287631.000,1533022.000,1572155.000,1378161.000,1350894.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,,,,,1.880,,,,,1.910,1.630,,,,,
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfExercisableOptions,,,,,,,,,545684.000,,,,,,,699127.000,,738917.000,822214.000,832379.000
ShareBasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeNumberOfOutstandingOptions,,,,,,,,,1130628.000,,,,,,,1287631.000,,1572155.000,1378161.000,1350894.000
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageExercisePrice1,,,,,,,,,,,,,,,,,,,1.900,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeOutstandingOptionsWeightedAverageExercisePriceBeginningBalance1,,,,,,,,,,,,,,,,,,,1.450,
StockholdersEquity,,,,,,,-5300000.000,,,,,,,,,,,,,
