,2011-01-28,2011-04-29,2011-07-29,2011-10-28,2012-02-03,2012-05-04,2012-08-03,2012-11-02,2013-02-01,2013-05-03,2013-08-02,2013-11-01,2014-01-31,2014-05-02,2014-08-01,2014-10-31,2015-01-30,2015-05-01,2015-07-31,2015-10-30,2016-01-29,2016-04-29,2016-07-29,2016-10-28,2017-02-03,2017-05-05
AccountsPayableCurrent,4351000000.000,6694000000.000,5378000000.000,5242000000.000,4352000000.000,6977000000.000,5084000000.000,5416000000.000,4657000000.000,7041000000.000,5664000000.000,5776000000.000,5008000000.000,7051000000.000,6191000000.000,6459000000.000,5124000000.000,8023000000.000,7123000000.000,7338000000.000,5633000000.000,8821000000.000,7696000000.000,7836000000.000,6651000000.000,9905000000.000
AccrualForTaxesOtherThanIncomeTaxesCurrent,113000000.000,,,,102000000.000,,,,112000000.000,,,,121000000.000,,,,124000000.000,,,,111000000.000,,,,108000000.000,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,11256000000.000,11600000000.000,11900000000.000,12200000000.000,12362000000.000,12700000000.000,13000000000.000,13300000000.000,13189000000.000,13400000000.000,13800000000.000,14000000000.000,14240000000.000,14600000000.000,14900000000.000,15200000000.000,15409000000.000,15800000000.000,15900000000.000,16200000000.000,16336000000.000,16600000000.000,16800000000.000,17100000000.000,16969000000.000,16900000000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,,,,,1000000.000,,,,,,,,,,,,,,,,,,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,53000000.000,,,,45000000.000,,,,51000000.000,,,,-17000000.000,,,,-103000000.000,,,,-394000000.000,,,,-240000000.000,
AccumulatedOtherComprehensiveIncomeLossNetOfTax,53000000.000,85000000.000,82000000.000,46000000.000,46000000.000,52000000.000,47000000.000,53000000.000,52000000.000,52000000.000,26000000.000,23000000.000,-17000000.000,-9000000.000,-5000000.000,-28000000.000,-103000000.000,-81000000.000,-310000000.000,-379000000.000,-394000000.000,-309000000.000,-366000000.000,-214000000.000,-240000000.000,-241000000.000
AdditionalPaidInCapitalCommonStock,11000000.000,0.000,7000000.000,24000000.000,14000000.000,0.000,2000000.000,9000000.000,26000000.000,38000000.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Assets,33699000000.000,35884000000.000,34045000000.000,33866000000.000,33559000000.000,37208000000.000,35032000000.000,33953000000.000,32666000000.000,34731000000.000,33408000000.000,34077000000.000,32732000000.000,34229000000.000,33137000000.000,34032000000.000,31827000000.000,34422000000.000,32745000000.000,33655000000.000,31266000000.000,37177000000.000,36471000000.000,35370000000.000,34408000000.000,37613000000.000
AssetsCurrent,9967000000.000,11973000000.000,10168000000.000,10423000000.000,10072000000.000,13628000000.000,11599000000.000,10830000000.000,9784000000.000,12014000000.000,10913000000.000,11365000000.000,10296000000.000,11952000000.000,11075000000.000,12130000000.000,10080000000.000,12791000000.000,11366000000.000,12395000000.000,10561000000.000,16473000000.000,13351000000.000,12728000000.000,12000000000.000,15276000000.000
AvailableForSaleSecurities,,,,,,,,,,,,,464000000.000,,,,479000000.000,,,,,,,,,
