,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31
AccountsPayableCurrent,391882.000,349477.000,522270.000,553140.000,389252.000,595756.000,472738.000,630783.000,394667.000,376696.000,604644.000,634845.000,642172.000,683703.000,453079.000
AccountsReceivableNetCurrent,100950.000,268741.000,223274.000,198247.000,81235.000,160369.000,153021.000,189447.000,57784.000,51121.000,350939.000,112304.000,59942.000,82580.000,232816.000
AccruedLiabilitiesCurrent,228281.000,268725.000,51587.000,111066.000,207872.000,281762.000,51292.000,204147.000,208087.000,219059.000,74897.000,139034.000,134525.000,191504.000,56382.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,,,,,,,,2486896.000,,,,2824241.000,,,
AdditionalPaidInCapital,4514504.000,4527304.000,4540104.000,5358904.000,5371704.000,5384504.000,5397304.000,10945104.000,10945104.000,10945104.000,10945104.000,15145104.000,15145104.000,15145104.000,15145424.000
AllowanceForDoubtfulAccountsReceivable,,,,,,,,20000.000,,,,25000.000,,,
Assets,8720033.000,8333904.000,7846607.000,6002606.000,5031118.000,4068154.000,4179774.000,9210747.000,6201930.000,4198921.000,2930938.000,7211021.000,5041331.000,3748687.000,2548806.000
AssetsCurrent,4250697.000,3518196.000,2946210.000,2814477.000,1928196.000,1134747.000,1428252.000,6602710.000,3761395.000,1867391.000,660489.000,4982190.000,2963723.000,1819334.000,785348.000
Cash,,,,,,,,,3640586.000,1292664.000,202136.000,4858394.000,2846090.000,1698702.000,517632.000
CashAndCashEquivalentsAtCarryingValue,4016275.000,3068597.000,2528105.000,2542293.000,1684136.000,853626.000,1196489.000,6340609.000,3640586.000,1292664.000,202136.000,4858394.000,2846090.000,1698702.000,517632.000
ClassOfWarrantOrRightExercisePriceOfWarrantsOrRights1,,,,,,,,,,,,,0.500,,
ClassOfWarrantOrRightNumberOfSecuritiesCalledByWarrantsOrRights,,,,,,,,,,,,,9000000.000,9000000.000,9000000.000
