,2011-12-31,2012-12-31,2013-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,71314.000,87315.000,-71313.000
CostOfServicesMaintenanceCosts,19173.000,12850.000,13657.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,689184.000,0.000
GainLossOnDispositionOfRealEstateDiscontinuedOperations,,,0.000
GainsLossesOnSalesOfInvestmentRealEstate,,619039.000,
ImpairmentOfRealEstate,,0.000,0.000
IncomeLossAttributableToParent,,644916.000,-42044.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,,-44268.000,-42044.000
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-1.410
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipUnitBasic,,,0.000
IncomeLossIncludingPortionAttributableToNoncontrollingInterest,71070.000,644916.000,-42044.000
IncreaseDecreaseInAccountsPayable,6865.000,1715.000,-15951.000
IncreaseDecreaseInDueToAffiliates,-190.000,11513.000,-7458.000
IncreaseDecreaseInOtherCurrentAssets,,2442.000,138.000
IncreaseDecreaseInPropertyAndOtherTaxesPayable,3096.000,-8683.000,1997.000
InterestIncomeOther,,,4989.000
InvestmentIncomeInterest,18161.000,12926.000,
NetCashProvidedByUsedInFinancingActivities,,-5394618.000,-1112.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,-5394618.000,-1112.000
NetCashProvidedByUsedInInvestingActivities,-9527.000,5453953.000,-6607.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-9527.000,5453953.000,-6607.000
NetCashProvidedByUsedInOperatingActivities,80841.000,27980.000,-63594.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,80841.000,27980.000,-63594.000
NetIncomeLossAllocatedToGeneralPartners,711.000,590259.000,-420.000
NetIncomeLossAllocatedToLimitedPartners,70359.000,54657.000,-41624.000
NetIncomeLossPerOutstandingGeneralPartnershipUnit,711.000,,
NetIncomeLossPerOutstandingGeneralPartnershipUnitNetOfTax,,,-420.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,2.380,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-1.410
OperatingExpenses,169622.000,187699.000,198412.000
OperatingIncomeLoss,45784.000,-66244.000,-51483.000
OperatingLeasesIncomeStatementLeaseRevenue,215406.000,121455.000,146929.000
OtherNonoperatingIncome,7125.000,9050.000,4450.000
PartnersCapitalAccountDistributions,,-5394618.000,1112.000
PartnersCapitalAccountTreasuryUnitsPurchases,,359484.000,359484.000
PartnersCapitalAccountUnitsTreasury,,407.750,407.750
PaymentsOfCapitalDistribution,,,1112.000
PaymentsToDevelopRealEstateAssets,9527.000,8275.000,6607.000
ProceedsFromSaleOfRealEstateHeldforinvestment,,5462228.000,0.000
ProfessionalFees,80656.000,86180.000,101947.000
RealEstateCostOfRealEstateSold,,4843189.000,0.000
RealEstateImprovements,,8275.000,6607.000
RealEstateRevenueNet,215406.000,121455.000,146929.000
SellingAndMarketingExpense,0.000,798.000,0.000
WeightedAverageLimitedPartnershipUnitsOutstanding,29593.000,29593.000,29593.000
