,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AccountsPayableAndAccruedLiabilities,67960.000,52960.000,39145.000,39145.000,49489.000,
AccountsPayableAndAccruedLiabilitiesCurrent,,,,,,49640.000
AccountsPayableRelatedParties,0.000,0.000,0.000,0.000,,
AdditionalPaidInCapital,8522021.000,387579.000,387579.000,387579.000,387579.000,7507873.000
Assets,26379.000,34382.000,41722.000,26885.000,1731.000,6582.000
AssetsCurrent,25180.000,33418.000,40991.000,26208.000,1054.000,6013.000
Cash,180.000,8418.000,15991.000,12.000,1054.000,6013.000
CashAndCashEquivalentsAtCarryingValue,180.000,8418.000,15991.000,1208.000,1054.000,6013.000
CommonStockSharesAuthorized,49880000000.000,3500000000.000,3500000000.000,3500000000.000,3500000000.000,3500000000.000
CommonStockSharesIssued,891202810.000,801191337.000,801191337.000,801191337.000,801191337.000,946254600.000
CommonStockSharesOutstanding,891202810.000,801191337.000,801191337.000,801191337.000,801191337.000,946245600.000
CommonStockValue,9.000,8011913.000,8011913.000,8011913.000,8011913.000,946246.000
ConvertibleDebtCurrent,,22708.000,46041.000,70833.000,72708.000,71875.000
DebtConversionConvertedInstrumentAmount,85000.000,85000.000,25000.000,25000.000,,
DerivativeLiabilitiesCurrent,,19041.000,32458.000,73352.000,102010.000,44833.000
IntangibleAssetsNetExcludingGoodwill,839.000,785.000,731.000,677.000,677.000,569.000
LiabilitiesAndStockholdersEquity,26379.000,34382.000,41722.000,26885.000,1731.000,6582.000
LiabilitiesCurrent,374923.000,426246.000,466431.000,519217.000,615594.000,556985.000
LoansPayable,306963.000,331537.000,348787.000,335887.000,391387.000,390637.000
PropertyPlantAndEquipmentNet,360.000,179.000,0.000,0.000,,
RetainedEarningsAccumulatedDeficit,-8870574.000,-8913894.000,-8946739.000,-9014362.000,-9135893.000,-9127060.000
StockholdersEquity,-348544.000,-391864.000,-424709.000,-492332.000,-615863.000,-550403.000
StockholdersEquityNoteSubscriptionsReceivable,25000.000,25000.000,25000.000,25000.000,,
