,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease,,,59008.000,,,,-23930.000,,,
AssetRetirementObligationAccretionExpense,2349.000,2385.000,3516.000,3578.000,3642.000,3706.000,3772.000,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-31.000,,,,-31.000,,,
CostsAndExpenses,322326.000,246443.000,204259.000,114734.000,133672.000,1239852.000,81137.000,70755.000,58823.000,270232.000
DepreciationDepletionAndAmortization,87780.000,89710.000,59008.000,49704.000,26663.000,73330.000,17574.000,12760.000,15355.000,17056.000
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,-16833.000,-14379.000,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,,,,,,,6315.000,202275.000,0.000,1348.000
GainLossOnDerivativeInstrumentsNetPretax,32839.000,57010.000,61124.000,-16833.000,-14379.000,13386.000,-19945.000,6175.000,0.000,0.000
GainLossOnSaleOfOilAndGasProperty,,,,,,,,-202000.000,,
GeneralAndAdministrativeExpense,159325.000,97302.000,28858.000,31038.000,29086.000,38819.000,30686.000,32625.000,28992.000,39956.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,,-28879.000,-100540.000,,,-27046.000,-13395.000,
IncomeLossFromContinuingOperationsPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,,,,,,-39.000,-19.000,
IncomeLossFromDiscontinuedOperationsNetOfTaxPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasicAndDiluted,,,,,,,,290.000,0.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,15606.000,,,,408.000,,,
IncreaseDecreaseInAccountsReceivable,,,11668.000,,,,27950.000,,,
IncreaseDecreaseInDueToAffiliatesCurrent,,,-2359.000,,,,-5816.000,,,
IncreaseDecreaseInInventories,,,-6800.000,,,,-6640.000,,,
IncreaseDecreaseInOtherOperatingAssets,,,-1917.000,,,,1357.000,,,
InterestIncomeDomesticDeposits,4.000,73.000,5.000,5.000,5.000,6.000,5.000,22.000,138.000,104.000
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,,,,,,,0.259,,,
LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,,,,0.800,,,0.800,,,
NetCashProvidedByUsedInFinancingActivities,,,-9399.000,,,,-7234.000,,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,-9399.000,,,,-7234.000,,,
NetCashProvidedByUsedInInvestingActivities,,,-656.000,,,,0.000,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,-656.000,,,,0.000,,,
NetCashProvidedByUsedInOperatingActivities,,,10024.000,,,,7203.000,,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,10024.000,,,,7203.000,,,
NetIncomeLossAllocatedToGeneralPartners,-22828.000,-5594.000,-8392.000,-5775.000,-11715.000,-238352.000,7704.000,,,
NetIncomeLossAllocatedToLimitedPartners,-91310.000,-22377.000,-33570.000,-23099.000,-88820.000,-911446.000,-30815.000,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnit,-163.000,-40.000,-60.000,,,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,,,,,,251.000,-19.000,
OilAndGasProductionExpense,72872.000,57046.000,112877.000,30414.000,74281.000,45642.000,30102.000,22544.000,11597.000,21434.000
OilAndGasSalesRevenue,175345.000,161389.000,101168.000,102688.000,47511.000,76662.000,56243.000,37512.000,45290.000,59038.000
OperatingIncomeLoss,-114142.000,-28044.000,-41967.000,,,,-44839.000,-27068.000,-13533.000,-165059.000
PartnersCapitalAccountDistributions,,,-9399.000,,,,-7234.000,,,
PaymentsOfCapitalDistribution,,,,,,,,235000.000,235000.000,
PaymentsToExploreAndDevelopOilAndGasProperties,,,656.000,,,,0.000,,,
ProceedsFromSaleOfPropertyPlantAndEquipment,,,,,,,,435000.000,,
ProfitLoss,-114138.000,-27971.000,-41962.000,-28874.000,-100535.000,-1149798.000,-38519.000,175229.000,-13395.000,-163607.000
Revenues,208184.000,218399.000,162292.000,85855.000,33132.000,90048.000,36298.000,43687.000,45290.000,105173.000
SalesRevenueNet,208184.000,218399.000,162292.000,85855.000,33132.000,90048.000,36298.000,43687.000,45290.000,105173.000
UnrealizedGainLossOnDerivatives,,,,-60448.000,-49011.000,,,,,
UnrealizedGainLossOnDerivativesAndCommodityContracts,,,-26736.000,,,,-46095.000,,,
