,2011-06-18
AccountsAndOtherReceivablesNetCurrent,26306000.000
AccountsPayableAndAccruedLiabilitiesCurrent,11786000.000
AccruedIncomeTaxesCurrent,1547000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,54539000.000
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,2912000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,7393000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-135000.000
AdditionalPaidInCapitalCommonStock,55261000.000
AllowanceForDoubtfulAccountsReceivableCurrent,934000.000
Assets,337793000.000
AssetsCurrent,65680000.000
BuildingsAndImprovementsGross,91001000.000
CashAndCashEquivalentsAtCarryingValue,8594000.000
DeferredRevenueCurrent,128092000.000
DeferredTaxAssetsNetCurrent,4434000.000
DeferredTaxAssetsNetNoncurrent,10876000.000
EmployeeRelatedLiabilitiesCurrent,18603000.000
Goodwill,37098000.000
InventoryNet,1730000.000
Land,23198000.000
Liabilities,279542000.000
LiabilitiesAndStockholdersEquity,337793000.000
LiabilitiesCurrent,160028000.000
LongTermDebtCurrent,0.000
MarketableSecuritiesNoncurrent,105474000.000
OtherLiabilitiesNoncurrent,836000.000
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,118678000.000
PrepaidExpenseCurrent,3707000.000
PropertyPlantAndEquipmentGross,161578000.000
PropertyPlantAndEquipmentNet,107039000.000
RetainedEarningsAccumulatedDeficit,251553000.000
ShortTermInvestments,20909000.000
StockholdersEquity,58251000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,58251000.000
TreasuryStockShares,31880820.000
TreasuryStockValue,301114000.000
