,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,4000.000,,,,,,,,,
AllocatedShareBasedCompensationExpense,,4000.000,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,-192000.000,,,,-2000.000,,,,0.000,
DebtInstrumentPeriodicPayment,,,,,,150000000.000,,,,150000.000,
DebtRelatedCommitmentFeesAndDebtIssuanceCosts,,83000.000,,,,82000.000,,,,82000.000,
EarningsPerShareBasicAndDiluted,-0.001,-0.001,-0.001,-0.001,0.000,-0.001,-0.000,-0.001,-0.003,-0.001,-0.001
GeneralAndAdministrativeExpense,253000.000,216000.000,159000.000,150000.000,156000.000,152000.000,50000.000,169000.000,-8000.000,89000.000,84000.000
IncreaseDecreaseInAccountsAndOtherReceivables,,,,,,-26000.000,,,,-8000.000,
IncreaseDecreaseInAccountsPayable,,-21000.000,,,,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,42000.000,,,,125000.000,,,,81000.000,
IncreaseDecreaseInEmployeeRelatedLiabilities,,1000.000,,,,1000.000,,,,0.000,
InterestExpense,106000.000,85000.000,87000.000,84000.000,80000.000,84000.000,83000.000,85000.000,86000.000,82000.000,89000.000
InterestPaid,,1000.000,,,,,,,,,
NetCashProvidedByUsedInFinancingActivities,,,,,,,,,,0.000,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,,,,,,,,0.000,
NetCashProvidedByUsedInOperatingActivities,,-192000.000,,,,-2000.000,,,,0.000,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-192000.000,,,,-2000.000,,,,0.000,
NetIncomeLoss,-359000.000,-301000.000,-246000.000,-234000.000,-236000.000,-236000.000,-133000.000,-254000.000,-868000.000,-171000.000,-173000.000
OperatingIncomeLoss,-253000.000,-216000.000,-159000.000,-150000.000,-156000.000,-152000.000,-50000.000,-169000.000,8000.000,-89000.000,-84000.000
PaymentsForAdvanceToAffiliate,,,,,,781000.000,,,,,
ShareBasedCompensation,,4000.000,,,,,,,,,
VariableInterestEntityOwnershipPercentage,,,,,,,,,,0.500,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,,,317753571.000,317753571.000,317753571.000,-635507142.000,317753571.000,317753571.000
