,2011-06-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,6142.000,,,,,,,,,,,,,,,,-3231.000,,,,-5871.000
GeneralAndAdministrativeExpense,10680.000,24978.000,14923.000,18166.000,17182.000,29264.000,14028.000,16518.000,16239.000,24758.000,16089.000,15303.000,16251.000,26460.000,12422.000,11991.000,16039.000,24491.000,12345.000,15039.000,17823.000,24657.000
IncreaseDecreaseInAccountsPayable,,-1427.000,,,,,,,,,,,,,,,,-2597.000,,,,-13345.000
IncreaseDecreaseInAccountsReceivable,,,,,,,,,,,,,,,,,,1.000,,,,-30859.000
IncreaseDecreaseInInterestPayableNet,,80431.000,,,,,,,,,,,,,,,,55553.000,,,,-16358.000
IncreaseDecreaseInNotesPayableCurrent,,90000.000,,,,,,,,,,,,,,,,,,,,
InterestAndDebtExpense,,162862.000,,,,,,,,,,,,,,,,,,,,
InterestExpense,77264.000,80431.000,,,,,,,,,,,,,72127.000,73168.000,,77964.000,75312.000,78218.000,79080.000,82059.000
InterestPaid,,,,,,,,,,,,,,,,,,22411.000,,,,98418.000
NetCashProvidedByUsedInFinancingActivities,,90000.000,,,,,,,,,,,,,,,,22842.000,,,,51981.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,90000.000,,,,,,,,,,,,,,,,22842.000,,,,51981.000
NetCashProvidedByUsedInOperatingActivities,,-83858.000,,,,,,,,,,,,,,,,-26073.000,,,,-57852.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-83858.000,,,,,,,,,,,,,,,,-26073.000,,,,-57852.000
NetIncomeLoss,,-162862.000,,,,,,,,,,,,,693.000,3628.000,,-79028.000,6980.000,-33287.000,-21250.000,-59008.000
NetIncomeLossPerOutstandingLimitedPartnershipAndGeneralPartnershipUnitBasic,,,,,,,,,,,,,,,1.000,4.000,,-82.000,7.000,-35.000,-24.000,-62.000
OperatingExpenses,,,,,,,,,,,,,,,93549.000,90697.000,,169550.000,87657.000,127924.000,115887.000,152616.000
ProceedsFromRelatedPartyDebt,,,,,,,,,,,,,,,,,,,,,,30000.000
ProceedsFromRepaymentsOfBankOverdrafts,,,,,,,,,,,,,,,,,,22842.000,,,,21981.000
ProfessionalFees,,57453.000,13013.000,9559.000,10736.000,59440.000,12175.000,13443.000,27096.000,39010.000,13183.000,12500.000,94913.000,40992.000,9000.000,5538.000,17197.000,67095.000,,34667.000,,45900.000
RealEstateRevenueNet,,,,,,,,,,,,,,,94242.000,94325.000,,90522.000,94637.000,94637.000,94637.000,93608.000
RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,,,,,,,,,,,,,,,,,,7991.000,,,,8183.000
