,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition,,,,,,,,,,,,,,,,,939569.000,,
AdvertisingExpense,,,,,,,,,,,,,,12844.000,90922.000,,1157.000,24440.000,138.000
AllocatedShareBasedCompensationExpense,,,,,,,,,,,,,,,,,939569.000,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,,,,,,,,,,,,,,,,,4275000.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,0.000,,,,0.000,,,,,,,,-220236.000,,
ComprehensiveIncomeNetOfTax,,,,,,,,,-22893.000,-24097.000,-25177.000,,-25638.000,,,,,,
Depreciation,,,,,,,,,,,,,,,,,3135.000,3192.000,3192.000
EarningsPerShareBasicAndDiluted,-0.010,-0.010,-0.010,-0.010,-0.020,-0.010,-0.010,0.000,-0.010,-0.010,-0.010,-0.010,-0.010,-0.010,-0.030,-0.310,-0.090,-0.230,-0.100
GeneralAndAdministrativeExpense,15477.000,35206.000,25807.000,20612.000,34361.000,16024.000,20972.000,18211.000,19976.000,20736.000,21442.000,18157.000,21108.000,3090.000,54806.000,1044269.000,556284.000,828621.000,464599.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,,,,,,,,,,,-153138.000,-479520.000,,-1657472.000,-4127086.000,-1706698.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-15576.000,-35672.000,-26557.000,-21856.000,-35923.000,-17978.000,-23290.000,-20876.000,-22893.000,-24097.000,-25177.000,-22239.000,-25638.000,,,,,,
IncomeTaxesPaid,,,,,,,,,,,,,,,,,500.000,,
IncreaseDecreaseInAccountsPayable,477.000,,,,13760.000,,,,-424.000,,,,510.000,,,,,,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,,,,,,,,,,,,,,,63358.000,,
IncreaseDecreaseInAccruedLiabilities,99.000,,,,1563.000,,,,2917.000,,,,4081.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,,,,,,-3751.000,,
InterestIncomeExpenseNonoperatingNet,,,,,,,,,,,,,,,,,,,-518.000
InterestPaid,,,,,,,,,,,,,,,,,777.000,,
InvestmentIncomeNet,,,,,,,,,,,,,,21.000,670.000,,-777.000,-776.000,
MarketingAndAdvertisingExpense,,,,,,,,,,,,,,12844.000,90922.000,,,,
NetCashProvidedByUsedInFinancingActivities,15000.000,,,,5600.000,,,,5400.000,,,,6047.000,,,,454501.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,15000.000,,,,5600.000,,,,5400.000,,,,6047.000,,,,454501.000,,
NetCashProvidedByUsedInInvestingActivities,,,,,,,,,,,,,,,,,-27078.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,,,,,,,,,,,,,,,-27078.000,,
NetCashProvidedByUsedInOperatingActivities,-15000.000,,,,-5600.000,,,,-5400.000,,,,-6047.000,,,,-647659.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-15000.000,,,,-5600.000,,,,-5400.000,,,,-6047.000,,,,-647659.000,,
NetIncomeLoss,-15576.000,-35672.000,-26557.000,-21856.000,-35923.000,-17978.000,-23290.000,-20876.000,-22893.000,-24097.000,-25177.000,-22239.000,-25638.000,-153138.000,-479520.000,-3320137.000,-1657472.000,-4127086.000,-1706698.000
NonoperatingIncomeExpense,-99.000,-466.000,-750.000,-1244.000,-1562.000,-1954.000,-2318.000,-2665.000,-2917.000,-3361.000,-3735.000,-4082.000,-4530.000,21.000,670.000,-107.000,-777.000,-776.000,-518.000
NotesIssued1,,,,,15000.000,,,,15000.000,,,,15000.000,,,,,,
OperatingExpenses,15477.000,35206.000,25807.000,20612.000,34361.000,16024.000,20972.000,18211.000,19976.000,20736.000,21442.000,18157.000,21108.000,153159.000,480190.000,3320030.000,1656695.000,4126310.000,1706180.000
OperatingIncomeLoss,-15477.000,-35206.000,-25807.000,-20612.000,-34361.000,-16024.000,-20972.000,-18211.000,-19976.000,-20736.000,-21442.000,-18157.000,-21108.000,-153159.000,-480190.000,-3320030.000,-1656695.000,-4126310.000,-1706180.000
OtherNoncashExpense,,,,,15000.000,,,,15000.000,,,,15000.000,,,,,,
PaymentsToAcquireMachineryAndEquipment,,,,,,,,,,,,,,,,,52800.000,,
PaymentsToAcquirePropertyPlantAndEquipment,,,,,,,,,,,,,,,12339.000,,2078.000,,
ProceedsFromIssuanceOfCommonStock,,,,,,,,,,,,,,,,,454501.000,,
