,2011-07-31,2011-10-31,2012-01-31,2012-07-31,2012-10-31,2013-01-31,2013-07-31,2013-10-31,2014-01-31,2014-07-31,2014-10-31,2015-01-31,2015-07-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30
AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,20714.000,10727.000,3472.000,3882.000,15560.000,8522.000,6569.000,19270.000,10916.000,8864.000,,10851.000,10991.000,10754.000,39206.000,11268.000,23220.000,15393.000,42472.000
AccountsPayableCurrent,20650.000,21309.000,12571.000,15074.000,20831.000,26279.000,22568.000,8792.000,15176.000,22503.000,14259.000,14546.000,18497.000,13241.000,4595.000,37251.000,6871.000,19037.000,3842.000
AccountsReceivableNetCurrent,149374.000,144002.000,157194.000,164200.000,154702.000,149425.000,161163.000,170420.000,135019.000,168780.000,141662.000,150225.000,164009.000,194782.000,192051.000,130878.000,186899.000,272099.000,267545.000
AccruedIncomeTaxesPayable,,,12993.000,,2244.000,8727.000,,,,,,,,,,,,,
AccruedLiabilitiesCurrent,,,,,,,,,,,,,,,3545.000,,,,3589.000
AccruedVacation,25066.000,25913.000,20692.000,29699.000,33877.000,17645.000,,,,,,,,,,,,,
AccruedVacationCurrent,,,,,,,31250.000,32823.000,18485.000,37768.000,25782.000,13199.000,27320.000,17330.000,21835.000,32443.000,30761.000,19940.000,21795.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,207340.000,209186.000,212156.000,215073.000,216692.000,216207.000,214517.000,216251.000,218083.000,188545.000,191672.000,194515.000,197444.000,201451.000,203276.000,205375.000,207280.000,209656.000,205326.000
AllowanceForDoubtfulAccountsReceivableCurrent,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
Assets,1149943.000,1158253.000,1191695.000,1239740.000,1306511.000,1317526.000,1335071.000,1388180.000,1365814.000,1364091.000,1389671.000,1402779.000,1465969.000,1517400.000,1579786.000,1582587.000,1621910.000,1675094.000,1692218.000
AssetsCurrent,981225.000,984049.000,1017815.000,1044314.000,1092701.000,1098448.000,1135396.000,1177079.000,1144920.000,1203204.000,1222416.000,1248912.000,1310126.000,1354105.000,1418618.000,1422377.000,1457144.000,1511451.000,1526604.000
Cash,706731.000,724058.000,743993.000,782415.000,853339.000,828248.000,785053.000,860531.000,847561.000,879390.000,948655.000,941025.000,969765.000,1013234.000,1091649.000,1128947.000,1092756.000,1021508.000,1040582.000
