,2011-06-30,2011-12-31,2012-03-31,2012-06-30
AccretionAmortizationOfDiscountsAndPremiumsInvestments,,-71000.000,,
AdvertisingExpense,160000.000,186000.000,236000.000,159000.000
AmortizationOfDeferredLoanOriginationFeesNet,,-338000.000,,
AmortizationOfESOPAward,,20000.000,,
AmortizationOfMortgageServicingRightsMSRs,,11000.000,,
AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,,609000.000,171000.000,43000.000
AvailableforsaleSecuritiesGrossRealizedGainLossExcludingOtherThanTemporaryImpairments,,-455000.000,-168000.000,-40000.000
BankOwnedLifeInsuranceIncome,136000.000,134000.000,132000.000,134000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,24345000.000,,
CommonStockDividendsPerShareDeclared,0.000,0.000,0.000,0.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,1353000.000,221000.000,274000.000
CurrentIncomeTaxExpenseBenefit,-4000.000,560000.000,28000.000,32000.000
DeferredIncomeTaxExpenseBenefit,,442000.000,,
DepreciationNonproduction,,186000.000,,
DividendsStock,,,-1000.000,-1000.000
EarningsPerShareBasic,0.060,0.210,0.040,0.050
EmployeeStockOwnershipPlanESOPCompensationExpense,,20000.000,,
EmployeeStockOwnershipPlanESOPSharesContributedToESOP,,3351.000,,3351.000
FederalDepositInsuranceCorporationPremiumExpense,313000.000,232000.000,221000.000,204000.000
FeesAndCommissionsDepositorAccounts,229000.000,277000.000,261000.000,218000.000
FinancingReceivableAllowanceForCreditLossesRecovery,,,,42000.000
FinancingReceivableAllowanceForCreditLossesWriteOffs,,,,-470000.000
ForeclosedRealEstateExpense,656000.000,293000.000,720000.000,550000.000
GainsLossesOnSalesOfOtherRealEstate,3000.000,38000.000,-59000.000,-49000.000
ImpairedFinancingReceivableAverageRecordedInvestment,,,,14513000.000
ImpairedFinancingReceivableInterestIncomeAccrualMethod,,,,107000.000
ImpairedFinancingReceivableInterestIncomeCashBasisMethod,,,,716000.000
ImpairmentOfRealEstate,,111000.000,,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,360000.000,1811000.000,247000.000,304000.000
IncomeTaxesPaid,,0.000,,
IncreaseDecreaseInAccruedInterestReceivableNet,,-92000.000,,
IncreaseDecreaseInInterestPayableNet,,21000.000,,
IncreaseDecreaseInOtherOperatingAssets,,263000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,,100000.000,,
IncreaseDecreaseInPrepaidExpense,,-222000.000,,
IncreaseDecreaseInSavingsDeposits,,-3174000.000,,
InformationTechnologyAndDataProcessing,279000.000,294000.000,326000.000,319000.000
InterestAndDividendIncomeOperating,7430000.000,6872000.000,6474000.000,6321000.000
