,2011-09-30
AccountsPayable,202000.000
AccountsReceivableNet,283000.000
Assets,15870000.000
AssetsHeldForSaleAtCarryingValue,0.000
BuildingsAndImprovementsGross,39683000.000
CashEquivalentsAtCarryingValue,362000.000
DueToAffiliate,346000.000
GeneralPartnersCapitalAccount,-954000.000
Land,3082000.000
Liabilities,27045000.000
LiabilitiesAndPartnersCapital,15870000.000
LiabilitiesOfAssetsHeldForSale,0.000
LimitedPartnersCapitalAccount,-10221000.000
LongTermDebtComponentsMortgageLoans,25758000.000
NotesReceivableNet,0.000
OtherAssets,454000.000
OtherLiabilities,396000.000
PartnersCapital,-11175000.000
RealEstateAccumulatedDepreciation,-27994000.000
RealEstateInvestmentPropertyAtCost,42765000.000
RealEstateInvestmentPropertyNet,14771000.000
ReplacementReserveEscrow,0.000
SecurityDepositLiability,183000.000
TaxesPayable,160000.000
