,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AssetImpairmentCharges,,312000.000,0.000,,,
AssetRetirementObligationAccretionExpense,83500.000,94500.000,106100.000,79800.000,174500.000,149200.000
AssetRetirementObligationLiabilitiesSettled,,,285800.000,,,
AssetRetirementObligationRevisionOfEstimate,,1100.000,-426400.000,1626100.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-1410800.000,885100.000,-709600.000,-1797300.000,170900.000,
CashPeriodIncreaseDecrease,,,,,,83700.000
ComprehensiveIncomeNetOfTax,-1670700.000,-7484800.000,-7164100.000,-79748600.000,432600.000,-491900.000
ContributionOfProperty,192700.000,,,,,
CostsAndExpenses,,33616400.000,36376400.000,98325200.000,7359100.000,5726400.000
DeferredFederalStateAndLocalTaxExpenseBenefit,,,,,0.000,0.000
DepletionOfOilAndGasProperties,15461700.000,23016000.000,21714500.000,11262600.000,2899500.000,2674000.000
DerivativeGainLossOnDerivativeNet,,,,,852200.000,24000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,,,,-254100.000,700.000
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReserves10PercentAnnualDiscountForEstimatedTimingOfCashFlows,,47883700.000,86431400.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureCashInflows,,164567800.000,237015700.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureNetCashFlows,,98897500.000,157949800.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts,,65670300.000,,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesFutureProductionCosts1,,,-79065900.000,,,
DiscountedFutureNetCashFlowsRelatingToProvedOilAndGasReservesStandardizedMeasure,,51013800.000,71518400.000,,,
DistributionMadeToMemberOrLimitedPartnerCashDistributionsPaid,30029900.000,14581200.000,,,,
GainLossOnFairValueHedgeIneffectivenessNet,,,0.000,0.000,,
GainLossOnSaleOfDerivatives,,,,-7100.000,-500700.000,-814200.000
GainLossOnSaleOfOilAndGasProperty,,,-5509100.000,,,
GeneralAndAdministrativeExpense,186200.000,193400.000,180000.000,150900.000,153800.000,155800.000
GeneralPartnerDistributions,129200.000,0.000,,,,
GrossProfit,,19535600.000,24019400.000,13071200.000,2996400.000,2463800.000
ImpairmentOfLongLivedAssetsHeldForUse,,312000.000,,,,
ImpairmentOfOilAndGasProperties,,0.000,0.000,82469000.000,186200.000,0.000
IncomeTaxExaminationPenaltiesAndInterestExpense,,,,,0.000,0.000
IncreaseDecreaseDueFromAffiliates,-4764100.000,3338200.000,-2371700.000,-2970300.000,-1816500.000,-109200.000
IncreaseDecreaseInAccruedLiabilities,449800.000,-679900.000,-184900.000,-31900.000,-24700.000,8500.000
InterestIncomeOperating,1800.000,500.000,300.000,100.000,,
NaturalGasProductionRevenue,23366800.000,,,,,
NetCashProvidedByUsedInFinancingActivities,-30029900.000,-14581200.000,-26833000.000,-21207800.000,-5757800.000,-3112200.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-30029900.000,-14581200.000,-26833000.000,-21207800.000,-5757800.000,-3112200.000
NetCashProvidedByUsedInInvestingActivities,0.000,9800.000,9000.000,3586600.000,36300.000,12000.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,0.000,9800.000,9000.000,3586600.000,36300.000,12000.000
NetCashProvidedByUsedInOperatingActivities,28619100.000,15456500.000,26114400.000,15823900.000,5892400.000,3183900.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,28619100.000,15456500.000,26114400.000,15823900.000,5892400.000,3183900.000
NetIncomeLoss,7637200.000,-4079800.000,-3490000.000,-79576100.000,434600.000,-491200.000
NetIncomeLossAllocatedToGeneralPartners,3654700.000,2158000.000,2608700.000,-4497500.000,505100.000,383200.000
NetIncomeLossAllocatedToLimitedPartners,3982500.000,-6237800.000,-6098700.000,-75078600.000,-70500.000,-874400.000
NetIncomeLossPerOutstandingLimitedPartnershipUnit,174.000,,,,,
NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,,,-266.000,-3274.000,-3.000,-38.000
NoncashOrPartNoncashDivestitureAmountOfConsiderationReceived1,,,3521500.000,,,
OilAndGasProductionExpense,8734400.000,10000500.000,8866700.000,5677800.000,3945100.000,2747400.000
OilAndGasRevenue,32101200.000,29536100.000,32886100.000,18749000.000,7793700.000,5235200.000
OilAndGasSalesRevenue,,,,,6941500.000,5211200.000
OperatingCostsAndExpenses,24465800.000,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesBeforeTaxPeriodIncreaseDecrease,-9307900.000,,,,,
OtherComprehensiveIncomeDerivativesQualifyingAsHedgesBeforeTaxPortionAttributableToNoncontrollingInterest,129200.000,,,,,
OtherComprehensiveIncomeLossDerivativesQualifyingAsHedgesBeforeTax,,-3405000.000,-3674100.000,,,
OtherComprehensiveIncomeLossNetOfTax,,,,-172500.000,-2000.000,-700.000
OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIOnDerivativesNetOfTax,,,3449200.000,47500.000,-254100.000,700.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,,,,1317600.000,,
OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,515400.000,352400.000,-351300.000,,,
OtherNoncashExpense,222800.000,131900.000,87900.000,,,
PartnersCapitalAccountContributions,1634100.000,-3755100.000,,,,
PartnersCapitalAccountDistributions,30159100.000,14581200.000,26833000.000,21207800.000,5757800.000,3112200.000
