,2011-12-31,2012-12-31
CashAndCashEquivalentsPeriodIncreaseDecrease,-34675.000,63.000
EarningsPerShareBasic,-0.060,-0.000
EarningsPerShareBasicAndDiluted,,-0.000
EarningsPerShareDiluted,-0.060,-0.000
GainLossOnInvestments,-1453724.000,18028.000
GainLossOnSaleOfEquityInvestments,1453724.000,-18028.000
GeneralAndAdministrativeExpense,113430.000,81306.000
IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,-1523047.000,-53616.000
IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,-1523047.000,-53616.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,38155.000,-179362.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,-1500.000,-2500.000
MarketableSecuritiesGainLoss,-20520.000,
NetCashProvidedByUsedInFinancingActivities,-2006.000,63521.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,-2006.000,63521.000
NetCashProvidedByUsedInInvestingActivities,,190048.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,190048.000
NetCashProvidedByUsedInOperatingActivities,-32668.000,-253506.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-32668.000,-253506.000
NonoperatingIncomeExpense,-1409617.000,27690.000
OperatingExpenses,113430.000,81306.000
OperatingIncomeLoss,-113430.000,-81306.000
OtherInterestAndDividendIncome,,-6840.000
OtherNonoperatingIncomeExpense,64627.000,16503.000
ProceedsFromIssuanceOfCommonStock,,147280.000
ProceedsFromRepaymentsOfNotesPayable,-2006.000,-83759.000
ProceedsFromSaleAndMaturityOfMarketableSecurities,,81000.000
ProceedsFromSaleMaturityAndCollectionsOfInvestments,,109048.000
ProfitLoss,-1523047.000,-53616.000
StockIssuedDuringPeriodSharesNewIssues,0.000,
StockIssuedDuringPeriodSharesOther,,4152000.000
StockIssuedDuringPeriodValueNewIssues,0.000,
StockRepurchasedAndRetiredDuringPeriodValue,,-228000.000
TreasuryStockSharesRetired,,2280.000
WeightedAverageNumberOfDilutedSharesOutstanding,24158876.000,28341505.000
WeightedAverageNumberOfSharesOutstandingBasic,24158876.000,30692727.000
