,2014-06-30,2015-06-30
BusinessCombinationAcquisitionRelatedCosts,,4600000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,118.000
DebtConversionConvertedInstrumentAmount1,,500000.000
EarningsPerShareBasicAndDiluted,,-0.230
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,0.340
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,,-0.340
GeneralAndAdministrativeExpense,,330433.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,,-1091626.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,-1091626.000
IncomeTaxExpenseBenefit,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,39211.000
IncreaseDecreaseInPrepaidExpense,,48667.000
InterestIncomeOperating,,30000.000
InterestIncomeOther,,113137.000
NetCashProvidedByUsedInFinancingActivities,,145208568.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,145208568.000
NetCashProvidedByUsedInInvestingActivities,,-144468755.000
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,-144468755.000
NetCashProvidedByUsedInOperatingActivities,,-739695.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-739695.000
NetIncomeLoss,,-1091626.000
OperatingIncomeLoss,,-1204763.000
PaymentsToAcquireRestrictedCertificatesOfDeposit,,144468755.000
ProceedsFromIssuanceInitialPublicOffering,,145139559.000
ProceedsFromRelatedPartyDebt,,293980.000
RepaymentsOfNotesPayable,,125000.000
RepaymentsOfRelatedPartyDebt,,99971.000
SaleOfStockConsiderationReceivedOnTransaction,,144856345.000
SaleOfStockConsiderationReceivedPerTransaction,,100.000
StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,,-138780852.000
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,4728666.000
