,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-09-30,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
CashAndCashEquivalentsPeriodIncreaseDecrease,,,,,,,-4192.000,,,,-18928.000,,,,,,,,
CashPeriodIncreaseDecrease,,-18755.000,,,,,,,,,,,,,-4064.000,,,,-14.000
EarningsPerShareBasicAndDiluted,-0.000,-0.000,-0.000,-0.000,-0.020,0.000,,0.000,0.000,,-0.010,,,,,,,,
GeneralAndAdministrativeExpense,1892.000,15915.000,19106.000,8435.000,13351.000,14724.000,9722.000,4660.000,3450.000,3359.000,26890.000,3917.000,9026.000,4165.000,10556.000,4743.000,7442.000,5250.000,2514.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,,,,-14702.000,-9712.000,-4650.000,-3442.000,-3351.000,-26883.000,-3913.000,-9023.000,-4163.000,-10554.000,-4743.000,-7504.000,-5351.000,-2614.000
IncreaseDecreaseInAccountsPayable,,-3025.000,,,,,-5520.000,,,,-7955.000,,,,-13990.000,,,,
IncreaseDecreaseInInterestPayableNet,,,,,,,,,,,,,,,,,,,-100.000
IncreaseDecreaseInPrepaidExpense,,,,,,,,,,,,,,,7500.000,,,,-2500.000
InterestAndOtherIncome,282.000,185.000,149.000,1083.000,1130.000,22.000,10.000,10.000,8.000,8.000,7.000,4.000,3.000,2.000,,,,,
InterestExpense,,,,,,,,,,,,,,,,,-63.000,,-100.000
InterestIncomeForeignDeposits,,,,,,,,,,,,,,,,,-62.000,,
InterestIncomeOperating,,,,,,,,,,,,,,,,,1.000,,
InvestmentIncomeInterest,,,,,,,,,,,,,,,2.000,,,,
NetCashProvidedByUsedInOperatingActivities,,-18755.000,,,,,-4192.000,,,,-18928.000,,,,-4064.000,,,,-14.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,-18755.000,,,,,-4192.000,,,,-18928.000,,,,-4064.000,,,,-14.000
NetIncomeLoss,-1610.000,-15730.000,-18957.000,-19852.000,-12221.000,-14702.000,-9712.000,-4650.000,-3442.000,-3351.000,-26883.000,-3913.000,-9023.000,-4163.000,-10554.000,-4743.000,-7504.000,-5351.000,-2614.000
OperatingExpenses,1892.000,15915.000,19106.000,8435.000,,,,,,,,,,,,,,,
OperatingIncomeLoss,-1892.000,-15915.000,-19106.000,-8435.000,-13351.000,-14724.000,-9722.000,-4660.000,-3450.000,-3359.000,-26890.000,-3917.000,-9026.000,-4165.000,-10556.000,-4743.000,-7442.000,-5250.000,-2514.000
ProceedsFromLegalSettlements,,,,-12500.000,,,,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,4269950.000,,,,,,,,,,,,,,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,4269950.000,4269950.000,4269950.000,,,,,,,,,,,,,,,4269950.000
WeightedAverageNumberOfSharesOutstandingBasic,4269950.000,,,,,4269950.000,4269950.000,4269950.000,4269950.000,-8539900.000,4269950.000,4269950.000,4269950.000,-8539900.000,4269950.000,4269950.000,4269950.000,-8539900.000,
