,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,2000000.000,,,,,,,,,,,,,,,,,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,900000.000,1100000.000,2000000.000,-2500000.000,1100000.000,1100000.000,1100000.000,-2400000.000,0.000,0.000,0.000,0.000,,,,,,,300000.000,
ComprehensiveIncomeNetOfTax,39000000.000,,,,,,,,,,,,,,,,,,,
DividendsCash,68000000.000,,,,,,,,,,,,,,,,,,,
EarningsPerShareBasic,,0.270,0.310,,0.180,0.220,0.360,0.490,0.350,0.280,0.440,0.230,0.170,0.310,0.340,0.390,0.240,0.120,0.580,0.180
EarningsPerShareDiluted,,0.270,0.310,,0.180,0.220,0.360,0.490,0.350,0.280,0.440,0.230,0.170,0.310,0.340,0.390,0.240,0.120,0.580,0.180
NetIncomeLoss,38000000.000,44000000.000,50000000.000,61000000.000,29000000.000,36000000.000,59000000.000,79000000.000,56000000.000,46000000.000,72000000.000,40000000.000,30000000.000,55000000.000,61000000.000,68000000.000,42000000.000,21000000.000,100000000.000,34000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,1000000.000,,,,,,,,,,,,,,,,,,,
StockIssuedDuringPeriodValueStockOptionsExercised,7000000.000,,,,,,,,,,,,,,,,,,,
StockRepurchasedDuringPeriodValue,-1000000.000,,,,,,,,,,,,,,,,,,,
WeightedAverageNumberOfDilutedSharesOutstanding,,162300000.000,162200000.000,,161700000.000,161700000.000,161900000.000,-323400000.000,162800000.000,163400000.000,163400000.000,-324600000.000,177300000.000,177400000.000,177100000.000,-354800000.000,176200000.000,175700000.000,174600000.000,-351300000.000
WeightedAverageNumberOfSharesOutstandingBasic,,162000000.000,161900000.000,,161400000.000,161500000.000,161500000.000,-322900000.000,162300000.000,162900000.000,163000000.000,-323600000.000,177000000.000,177100000.000,176800000.000,-354200000.000,175900000.000,175500000.000,174300000.000,-350800000.000
