,2012-01-31,2013-01-31,2014-01-31
AdjustmentsToAdditionalPaidInCapitalOther,600000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationAndExerciseOfStockOptions,76741.000,99924.000,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,246078.000,,
AllocatedShareBasedCompensationExpense,,,51767.000
AmortizationOfDebtDiscountPremium,,,66573.000
AssetImpairmentCharges,,311777.000,311777.000
CashAndCashEquivalentsPeriodIncreaseDecrease,-58449.000,21008.000,
CashPeriodIncreaseDecrease,,,-18741.000
ConversionOfStockAmountIssued1,141681.000,,
CostsAndExpenses,473290.000,1071319.000,488089.000
CurrentFederalTaxExpenseBenefit,,-1260715.000,
CurrentIncomeTaxExpenseBenefit,,-1260715.000,
EarningsPerShareBasicAndDiluted,-0.010,-0.010,0.000
EffectiveIncomeTaxRateContinuingOperations,,,0.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,-0.340,-0.340
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,,0.340,0.340
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.000,
ExplorationCosts,128739.000,216563.000,178725.000
FairValueAssumptionsExpectedVolatilityRate,,,2.195
FairValueAssumptionsRiskFreeInterestRate,,,0.016
GeneralAndAdministrativeExpense,344551.000,542979.000,309364.000
GoodwillImpairmentLoss,,311777.000,
ImpairmentOfIntangibleAssetsFinitelived,,311777.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,,,-726411.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,,-726411.000
IncomeLossFromContinuingOperationsBeforeInterestExpenseInterestIncomeIncomeTaxesExtraordinaryItemsNoncontrollingInterestsNet,-499527.000,-1285247.000,-726411.000
IncomeTaxesPaidNet,0.000,,
IncreaseDecreaseInAccountsPayable,74057.000,139072.000,
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,,156890.000
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,4831.000,-57622.000
InterestExpense,27280.000,175404.000,138349.000
InterestExpenseOther,,,115263.000
InterestExpenseRelatedParty,,38528.000,
InterestPaid,0.000,,
InvestmentIncomeInterest,539.000,4.000,
IssuanceOfStockAndWarrantsForServicesOrClaims,32000.000,100000.000,
NetCashProvidedByUsedInFinancingActivities,180000.000,205000.000,320000.000
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,180000.000,205000.000,320000.000
NetCashProvidedByUsedInInvestingActivities,15000.000,297564.000,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,15000.000,297564.000,
NetCashProvidedByUsedInOperatingActivities,-253449.000,-481556.000,-338741.000
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,-253449.000,-481556.000,-338741.000
NetIncomeLoss,-499527.000,-1285247.000,-726411.000
OperatingIncomeLoss,-473290.000,-1071319.000,-488089.000
OtherIncome,504.000,,15290.000
OtherNonoperatingIncomeExpense,,-213928.000,-238322.000
OtherSignificantNoncashTransactionValueOfConsiderationGiven1,600000.000,,
ProceedsFromIssuanceOfCommonStock,,,170000.000
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlans,,100000.000,
ProceedsFromIssuanceOfSharesUnderIncentiveAndShareBasedCompensationPlansIncludingStockOptions,,257673.000,
ProceedsFromIssuanceOrSaleOfEquity,,50000.000,
ProceedsFromNotesPayable,180000.000,,150000.000
ProceedsFromRelatedPartyDebt,,335000.000,
ProceedsFromWarrantExercises,43980.000,,
RepaymentsOfNotesPayable,,180000.000,
ShareBasedCompensation,,,51767.000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,,-5700000.000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,,2500000.000,4500000.000
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExpirationsInPeriodWeightedAverageExercisePrice,,0.310,
ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,0.060,0.020
StockIssuedDuringPeriodValueIssuedForCash,,,160000.000
StockIssuedDuringPeriodValueIssuedForServices,,100000.000,10000.000
StockIssuedDuringPeriodValueNewIssues,,50000.000,
StockOptionPlanExpense,76741.000,,
WeightedAverageNumberOfDilutedSharesOutstanding,82162652.000,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,134284043.000,146779933.000
