,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,,,,,,,,,,,,,,,-620000.000,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,,1410000.000,,,,2680000.000,,,,2280000.000,,,,2520000.000,,,,1970000.000,,,,1470000.000,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,,1770000.000,,,,910000.000,,,,760000.000,,,,200000.000,,,,,,,,,
AmortizationOfFinancingCostsAndDiscounts,,,910000.000,,,,440000.000,,,,480000.000,,,,510000.000,,,,340000.000,,,,350000.000,
AmortizationOfIntangibleAssets,,,4200000.000,4980000.000,5270000.000,5370000.000,5080000.000,5150000.000,4200000.000,5340000.000,5480000.000,5510000.000,5640000.000,7080000.000,7220000.000,5220000.000,5210000.000,3320000.000,5100000.000,5090000.000,5140000.000,5140000.000,4990000.000,5000000.000
BusinessAcquisitionsProFormaRevenue,,,,338430000.000,335870000.000,,,,,,,,,,,,,,,,,,,
BusinessCombinationBargainPurchaseGainRecognizedAmount,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,,,,1680000.000,4310000.000,,,,,,,,,,,,,,,,,,,
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual,,,,16000000.000,23640000.000,,,,,,,,,,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-73960000.000,,,,680000.000,,,,4820000.000,,,,-690000.000,,,,5970000.000,,,,1930000.000,
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,,,,,,,,,,,,,,,,,,,0.000,,,,,
