,2014-12-31,2015-12-31,2016-12-31
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,74000.000,66000.000
AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,,77343000.000,10000.000
AdvertisingExpense,400000.000,12200000.000,17200000.000
AmortizationOfBelowMarketLease,,400000.000,400000.000
BusinessAcquisitionsProFormaNetIncomeLoss,,-59339000.000,
BusinessAcquisitionsProFormaRevenue,,539163000.000,
CurrentFederalTaxExpenseBenefit,633000.000,2664000.000,994000.000
CurrentIncomeTaxExpenseBenefit,724000.000,3212000.000,1042000.000
CurrentStateAndLocalTaxExpenseBenefit,91000.000,548000.000,48000.000
DeferredFederalIncomeTaxExpenseBenefit,-116000.000,-98000.000,308000.000
DeferredIncomeTaxExpenseBenefit,-133000.000,-107000.000,329000.000
DeferredStateAndLocalIncomeTaxExpenseBenefit,-17000.000,-9000.000,21000.000
Dividends,,41168000.000,20505000.000
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,0.350
ImpairmentOfRealEstate,,,2400000.000
IncomeTaxExpenseBenefit,591000.000,3105000.000,1371000.000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,-4845000.000,-31121000.000,-23991000.000
IncomeTaxReconciliationOtherAdjustments,2000.000,0.000,0.000
IncomeTaxReconciliationStateAndLocalIncomeTaxes,73000.000,506000.000,96000.000
NetIncomeLoss,,-94826000.000,-72247000.000
NetIncomeLossAttributableToNoncontrollingInterest,,189000.000,315000.000
NoncontrollingInterestIncreaseFromBusinessCombination,,2551000.000,
OperatingLeasesRentExpenseNet,,5800000.000,6300000.000
ProceedsFromIssuanceOfCommonStock,252854000.000,,
PropertyManagementFeePercentFee,0.040,,
RealEstateAccumulatedDepreciationRealEstateSold,,,781000.000
RealEstateCostOfRealEstateSold,,,9744000.000
RealEstateImprovements,,37493000.000,43030000.000
RealEstateOtherAcquisitions,,1917101000.000,99727000.000
SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,,37683000.000,54377000.000
SECScheduleIIIRealEstateWritedownOrReserveAmount,,,2430000.000
StockIssuedDuringPeriodValueDividendReinvestmentPlan,,18158000.000,9468000.000
StockIssuedDuringPeriodValueNewIssues,,631779000.000,1147000.000
