,2011-02-28,2011-05-31,2011-08-31,2011-11-30,2012-02-29,2012-05-31,2012-08-31,2012-11-30,2013-02-28,2013-05-31,2013-08-31,2013-11-30,2014-02-28
AccountsAndNotesReceivableNet,,,93730000.000,81616000.000,77353000.000,97621000.000,112529000.000,106937000.000,97593000.000,126070000.000,140903000.000,120904000.000,126207000.000
AccountsPayableCurrent,43265000.000,56787000.000,54320000.000,57389000.000,60759000.000,64825000.000,68673000.000,64520000.000,57000000.000,69061000.000,69617000.000,73943000.000,71584000.000
AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,,,11371000.000,13974000.000,4964000.000,6900000.000,10441000.000,14348000.000,5318000.000,8540000.000,12505000.000,16155000.000,5897000.000
AccruedIncomeTaxes,,,3844000.000,3814000.000,3939000.000,4500000.000,4646000.000,4806000.000,4890000.000,4666000.000,4792000.000,5382000.000,2359000.000
AccruedInsuranceCurrent,,,14784000.000,12129000.000,13564000.000,14004000.000,14837000.000,14908000.000,16142000.000,15890000.000,16304000.000,16301000.000,16717000.000
AccruedLiabilitiesCurrent,40087000.000,58848000.000,49290000.000,63829000.000,43189000.000,61317000.000,44656000.000,67712000.000,48134000.000,62336000.000,49541000.000,72197000.000,43237000.000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,646841000.000,642329000.000,649973000.000,662186000.000,670030000.000,650450000.000,662385000.000,633973000.000,647281000.000,661454000.000,680804000.000,697717000.000,710902000.000
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,,,,12300000.000,,24500000.000,24100000.000,24000000.000,23900000.000,18400000.000,18300000.000,18300000.000,15200000.000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-13242000.000,-12762000.000,-12523000.000,-12283000.000,-12043000.000,-24498000.000,-24130000.000,-24033000.000,-23937000.000,-18354000.000,-18345000.000,-18334000.000,-15177000.000
AdditionalPaidInCapital,480109000.000,481706000.000,483056000.000,484453000.000,487182000.000,488637000.000,490495000.000,491959000.000,506112000.000,514560000.000,517947000.000,519922000.000,528754000.000
AllowanceForDoubtfulAccountsReceivable,,,3900000.000,3900000.000,4800000.000,2500000.000,2600000.000,2800000.000,2900000.000,2300000.000,3100000.000,3100000.000,3500000.000
AssetRetirementObligation,,,4457000.000,4118000.000,3848000.000,3879000.000,2349000.000,2653000.000,2611000.000,2653000.000,2683000.000,2715000.000,2594000.000
Assets,1529694000.000,1551011000.000,1528955000.000,1525041000.000,1486766000.000,1576928000.000,1564398000.000,1573267000.000,1548471000.000,1635825000.000,1625798000.000,1633091000.000,1587030000.000
AssetsCurrent,359476000.000,364935000.000,315970000.000,298523000.000,257444000.000,335384000.000,310235000.000,321104000.000,289455000.000,320566000.000,324746000.000,339230000.000,302611000.000
AssetsHeldForSaleCurrent,,,,,,,,39360000.000,38769000.000,0.000,,,
AssetsHeldForSalePropertyPlantAndEquipment,,,,,,,,9640000.000,9124000.000,,,,
BuildingsAndImprovementsGross,58951000.000,59320000.000,57952000.000,57330000.000,56741000.000,51982000.000,51749000.000,49608000.000,49637000.000,50968000.000,51461000.000,51461000.000,51549000.000
BusinessCombinationStepAcquisitionEquityInterestInAcquireeFairValue,,,,,,13000000.000,,,,13000000.000,,,
CapitalLeaseObligations,,,2191000.000,2173000.000,2154000.000,2136000.000,2116000.000,2097000.000,2084000.000,2057000.000,2036000.000,2016000.000,1994000.000
CapitalLeasesFutureMinimumPaymentsDue,,,,,,6000000.000,,,,5300000.000,,,
CapitalLeasesFutureMinimumPaymentsDueCurrent,,,,,,400000.000,,,,400000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFiveYears,,,,,,400000.000,,,,400000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInFourYears,,,,,,400000.000,,,,400000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInThreeYears,,,,,,400000.000,,,,400000.000,,,
CapitalLeasesFutureMinimumPaymentsDueInTwoYears,,,,,,400000.000,,,,400000.000,,,
CashAndCashEquivalentsAtCarryingValue,123362000.000,116432000.000,60600000.000,67462000.000,27155000.000,88027000.000,60871000.000,71782000.000,31664000.000,61296000.000,48472000.000,82362000.000,47833000.000
CommonStockCapitalSharesReservedForFutureIssuance,,,2600000.000,2600000.000,2500000.000,2500000.000,2400000.000,2400000.000,4500000.000,4200000.000,4300000.000,4100000.000,4000000.000
