,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-09-30,2017-03-31
AdjustmentsToAdditionalPaidInCapitalStockSplit,0.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,2243131.000,1120956.000,-48623.000,-2107913.000,167006.000,-278936.000,-49936.000,-1133522.000,15719.000,,
ComprehensiveIncomeNetOfTax,,,105658.000,,70200.000,-711912.000,-895041.000,-483967.000,,,
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,,,,,,-173173.000,
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,,,,,,,,,,-180243.000,
CostOfRevenue,2960678.000,7752868.000,8289881.000,6885780.000,8879086.000,9785508.000,5424591.000,6327886.000,,1198648.000,
DebtInstrumentDecreaseForgiveness,-1566323.000,0.000,0.000,0.000,0.000,,,,,,
DebtInstrumentDecreaseRepayments,,,,,0.000,,,,,,
DebtInstrumentIncreaseAdditionalBorrowings,,,,,0.000,,,,,,
Depreciation,0.000,3040.000,3038.000,,,,,,,,
EarningsPerShareBasic,0.020,0.020,0.000,-0.020,0.000,-0.010,-0.010,0.040,,-0.000,0.000
EarningsPerShareDiluted,0.020,0.020,0.000,-0.020,0.000,-0.010,-0.010,0.040,,-0.000,0.000
EffectOfExchangeRateOnCashAndCashEquivalents,-3883.000,-1283.000,-7024.000,5404.000,8334.000,13964.000,1782.000,1790.000,-15559.000,,
EffectOfExchangeRateOnCashAndCashEquivalentsContinuingOperations,,,,,,,,,-15559.000,,
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,,,,,,,,,0.250,,
ForeignCurrencyTransactionGainLossUnrealized,,,-6833.000,,8334.000,13964.000,1780.000,,,,
GainLossOnSaleOfPropertyPlantEquipment,0.000,0.000,0.000,0.000,,,,,,,
GainLossOnSaleOfStockInSubsidiaryOrEquityMethodInvestee,,,,,,-382217.000,,,,,
GainOrLossOnSaleOfStockInSubsidiary,,1371596.000,0.000,,,-3226.000,,,,,
GeneralAndAdministrativeExpense,110330.000,641552.000,140583.000,380624.000,119475.000,524144.000,128885.000,904586.000,14802.000,,137273.000
GrossProfit,76106.000,288928.000,272654.000,93383.000,221866.000,186009.000,29043.000,25620.000,,19291.000,
IncomeLossFromContinuingOperationsAttributableToNoncontrollingEntity,,,,,,,,,,-150674.000,
