,2011-09-30
AccountsPayableCurrent,8832000.000
AccountsReceivableNetCurrent,15662000.000
AccruedLiabilitiesCurrent,5989000.000
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,3411000.000
AdditionalPaidInCapital,30236000.000
Assets,42816000.000
AssetsCurrent,32556000.000
CapitalizedComputerSoftwareNet,6726000.000
CashAndCashEquivalentsAtCarryingValue,909000.000
CommonStockParOrStatedValuePerShare,0.100
CommonStockSharesAuthorized,25000000.000
CommonStockSharesIssued,11945258.000
CommonStockSharesOutstanding,11945258.000
CommonStockValue,1195000.000
DeferredTaxAssetsNetCurrent,736000.000
DeferredTaxLiabilitiesNoncurrent,37000.000
DividendsPayableCurrent,491000.000
Goodwill,1177000.000
IntangibleAssetsNetExcludingGoodwill,562000.000
InventoryNet,13416000.000
Liabilities,31428000.000
LiabilitiesAndStockholdersEquity,42816000.000
LiabilitiesCurrent,30108000.000
LiabilityForUncertainTaxPositionsNoncurrent,903000.000
LineOfCreditFacilityAmountOutstanding,7943000.000
LongTermDebtAndCapitalLeaseObligations,380000.000
LongTermDebtCurrent,6681000.000
MinorityInterest,689000.000
NotesAndLoansReceivableGrossCurrent,0.000
OtherAssetsNoncurrent,478000.000
OtherReceivablesNetCurrent,34000.000
PrepaidExpenseAndOtherAssetsCurrent,1799000.000
PropertyPlantAndEquipmentNet,1317000.000
RetainedEarningsAccumulatedDeficit,-29967000.000
ShortTermBankLoansAndNotesPayable,0.000
StockholdersEquity,10699000.000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,11388000.000
