,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31
PaymentsToAcquireFinanceReceivables,,,72484000.000,,,,62270000.000,,,,25764000.000,,,,22002000.000,,,
PaymentsToAcquirePropertyPlantAndEquipment,,,1224000.000,,,,1201000.000,,,,1082000.000,,,,958000.000,,,
ProceedsFromCollectionOfNotesReceivable,,,183000.000,,,,32000.000,,,,0.000,,,,,,,
ProceedsFromContributionsFromParent,,,,,,,0.000,,,,-150000.000,,,,,,,
ProceedsFromLinesOfCredit,,,152610000.000,,,,147167000.000,,,,117758000.000,,,,102192000.000,,,
ProceedsFromRepaymentsOfNotesPayable,,,-117000.000,,,,-108000.000,,,,-187000.000,,,,-170000.000,,,
ProfessionalAndContractServicesExpense,685000.000,510000.000,14000.000,29000.000,10000.000,4000.000,3000.000,4000.000,2000.000,2000.000,,,,,,,,
ProfitLoss,-10353000.000,-9360000.000,-2111000.000,144000.000,11846000.000,12735000.000,3330000.000,4374000.000,1366000.000,-4007000.000,-2146000.000,-7517000.000,-13008000.000,-15269000.000,-15388000.000,-14459000.000,-9724000.000,-78130000.000
RepaymentsOfLinesOfCredit,,,138787000.000,,,,135245000.000,,,,114476000.000,,,,92561000.000,,,
RepaymentsOfLongTermCapitalLeaseObligations,,,272000.000,,,,284000.000,,,,377000.000,,,,493000.000,,,
RevenueOtherFinancialServices,102000.000,73000.000,26000.000,81000.000,10000.000,15000.000,60000.000,0.000,50000.000,-50000.000,19000.000,9000.000,14000.000,14000.000,6000.000,19000.000,10000.000,7000.000
Revenues,59709000.000,58866000.000,78066000.000,84535000.000,96901000.000,94775000.000,89387000.000,90650000.000,84523000.000,73693000.000,71509000.000,66847000.000,56999000.000,51736000.000,52409000.000,48839000.000,50532000.000,50873000.000
RoyaltyRevenue,,,,3657000.000,3277000.000,,2861000.000,2770000.000,2760000.000,2041000.000,1680000.000,1606000.000,1379000.000,1097000.000,1065000.000,616000.000,-33000.000,-8000.000
SalesRevenueNet,59709000.000,58866000.000,78066000.000,84535000.000,96901000.000,94775000.000,89387000.000,90650000.000,84523000.000,73693000.000,71509000.000,66847000.000,56999000.000,51736000.000,52409000.000,48839000.000,50532000.000,50873000.000
SeveranceCosts1,,,,,,,,,,,,,,,,,700000.000,
StockOptionPlanExpense,,,78000.000,,,,34000.000,33000.000,32000.000,29000.000,24000.000,25000.000,17000.000,13000.000,11000.000,9000.000,9000.000,5000.000
ValuationAllowanceDeferredTaxAssetChangeInAmount,,,,1300000.000,,,,,,,,,,,,,,
