,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,-18700000.000,,,,-42000000.000,,,,,,,,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,,,,,,,,,,558000000.000,0.000,,,0.000,0.000
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGainOrLoss,,,,,,,0.000,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,49300000.000,,,,82000000.000,,,,207000000.000,,,,-57000000.000,,
ComprehensiveIncomeNetOfTax,,,,,161000000.000,411000000.000,353000000.000,593000000.000,694000000.000,996000000.000,685000000.000,771000000.000,628000000.000,636000000.000,1020000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,,,,1000000.000,9000000.000,4000000.000,5000000.000,8000000.000,10000000.000,8000000.000,9000000.000,7000000.000,8000000.000,13000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,168900000.000,494400000.000,488400000.000,308200000.000,162000000.000,402000000.000,349000000.000,586000000.000,702000000.000,1006000000.000,693000000.000,780000000.000,635000000.000,644000000.000,1033000000.000
CostOfGoodsAndServicesSold,,,,,,,,,,,,,1638000000.000,1602000000.000,1640000000.000
CostOfGoodsSold,,,,,,,,,957000000.000,1248000000.000,1531000000.000,,,,
CostsAndExpenses,,,,,,1337000000.000,1735000000.000,,1877000000.000,2416000000.000,2514000000.000,2494000000.000,2719000000.000,2722000000.000,2772000000.000
DebtInstrumentDecreaseRepayments,,,,,,,,,1809000000.000,,,,,,
DebtInstrumentIncreaseAdditionalBorrowings,,,,,,,,,2699000000.000,,,,,,
DepreciationAndAmortization,221800000.000,229400000.000,253400000.000,249900000.000,239000000.000,,,,,,,,,,
DepreciationDepletionAndAmortization,221800000.000,,,,246000000.000,248000000.000,292000000.000,307000000.000,328000000.000,357000000.000,377000000.000,384000000.000,401000000.000,406000000.000,427000000.000
DerivativeInstrumentsGainLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortionNet,,-86800000.000,-49000000.000,,-31000000.000,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTestingNet,5300000.000,-1800000.000,8500000.000,-6800000.000,-3000000.000,,,,,,,,,,
DerivativeInstrumentsGainLossRecognizedInIncomeNet,,,-100000.000,,,,,,0.000,,,,,,
DerivativeInstrumentsGainLossRecognizedInOtherComprehensiveIncomeEffectivePortionNet,-262400000.000,164600000.000,386600000.000,-274700000.000,-114000000.000,,,,,,,,,,
DerivativeInstrumentsGainRecognizedInIncome,63900000.000,128200000.000,436800000.000,-108800000.000,113000000.000,,,,,,,,,,
DerivativeInstrumentsLossRecognizedInIncome,-63900000.000,-128200000.000,-436800000.000,108800000.000,-113000000.000,,,,,,,,,,
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,,,,,,,,,,,11000000.000,,,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,,-322000000.000,,,,,,,,0.000,0.000,0.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,,,48000000.000,47000000.000,,0.000,0.000,,,,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,,,,,,,,0.000,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingExpense,,,,,-37000000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,,,,,50000000.000,,,,,,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,,,,,71000000.000,,,,,,,,,,
DistributionMadeToLimitedLiabilityCompanyLLCMemberDistributionsPaidPerUnit,,,,,,,,,,,,,,,1.400
DistributionMadeToLimitedPartnerDistributionsDeclaredPerUnit,,,,,,,,,,,1.350,,1.380,1.390,1.400
DistributionMadeToLimitedPartnerDistributionsPaidPerUnit,,,,,,,,,,,,,,,1.390
DistributionMadeToMemberOrLimitedPartnerCashDistribution,,,1.150,,,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerDistributionsDeclaredPerUnit,,,,,,1.230,1.260,,1.300,1.320,,,,,
DistributionMadeToMemberOrLimitedPartnerPerUnitAmount,1.140,1.150,1.160,1.160,1.200,,,,,,,,,,
DistributionMadeToMemberOrLimitedPartnerShareDistribution,,1599149.000,1701916.000,,,,1578616.000,,,,,,,,
EffectOfExchangeRateOnCashAndCashEquivalents,2500000.000,,,,7000000.000,,,,-6000000.000,,,,-10000000.000,,
EquityMethodInvestmentDividendsOrDistributions,64800000.000,,,,80000000.000,,,,,,,,54000000.000,,
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLoss,,,,,,,,,,,-13000000.000,,3000000.000,-14000000.000,16000000.000
FairValueAssetsMeasuredOnRecurringBasisChangeInUnrealizedGainLossIncludedInInvestmentIncome,,,,,,-2000000.000,-5000000.000,,0.000,1000000.000,,,,,
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInEarnings,,,,,,,,,,,,,,,15000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationGainLossIncludedInOtherComprehensiveIncomeLoss,,,,,,,,,,,,,,,10000000.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationPurchases,,,,,,,,,,,,,,,0.000
FairValueNetDerivativeAssetLiabilityMeasuredOnRecurringBasisUnobservableInputsReconciliationSettlements,,,,,,,,,,,,,,,-1000000.000
