,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30
AssetImpairmentCharges,,,,,,,153000000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,15000000.000,,,,0.000,,
ComprehensiveIncomeNetOfTax,-19000000.000,-25000000.000,4000000.000,-660000000.000,-49000000.000,-62000000.000,-176000000.000
CostsAndExpenses,118000000.000,145000000.000,120000000.000,590000000.000,117000000.000,111000000.000,272000000.000
DepreciationDepletionAndAmortization,17000000.000,17000000.000,16000000.000,18000000.000,13000000.000,13000000.000,9000000.000
ElectricalGenerationRevenue,115000000.000,137000000.000,158000000.000,117000000.000,98000000.000,73000000.000,101000000.000
FuelCosts,52000000.000,63000000.000,81000000.000,73000000.000,84000000.000,67000000.000,90000000.000
GainLossOnDispositionOfAssets,,-15000000.000,,,,-5000000.000,
GeneralAndAdministrativeExpense,2000000.000,1000000.000,1000000.000,2000000.000,1000000.000,1000000.000,1000000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-34000000.000,-38000000.000,8000000.000,-504000000.000,-49000000.000,-61000000.000,-180000000.000
IncomeTaxExpenseBenefit,-14000000.000,-15000000.000,3000000.000,144000000.000,0.000,0.000,0.000
IncreaseDecreaseInCommodityContractAssetsAndLiabilities,3000000.000,,,,0.000,,
IncreaseDecreaseInDueFromAffiliatesCurrent,,,,,24000000.000,,
IncreaseDecreaseInDueToAffiliatesCurrent,-32000000.000,,,,,,
IncreaseDecreaseInInterestPayableNet,31000000.000,,,,29000000.000,,
IncreaseDecreaseInInventories,6000000.000,,,,-43000000.000,,
IncreaseDecreaseInOtherOperatingLiabilities,1000000.000,,,,0.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,1000000.000,,,,-7000000.000,,
InterestExpense,31000000.000,30000000.000,30000000.000,31000000.000,30000000.000,30000000.000,30000000.000
NetCashProvidedByUsedInFinancingActivities,10000000.000,,,,0.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,10000000.000,,,,0.000,,
NetCashProvidedByUsedInInvestingActivities,-3000000.000,,,,-7000000.000,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,-3000000.000,,,,-7000000.000,,
NetCashProvidedByUsedInOperatingActivities,8000000.000,,,,7000000.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,8000000.000,,,,7000000.000,,
NetIncomeLoss,,,5000000.000,,-49000000.000,-61000000.000,-180000000.000
NonoperatingIncomeExpense,-31000000.000,-30000000.000,,,,,
OperatingIncomeLoss,-3000000.000,-8000000.000,38000000.000,-473000000.000,-19000000.000,-31000000.000,-150000000.000
OtherComprehensiveIncomeLossNetOfTaxPeriodIncreaseDecrease,1000000.000,-2000000.000,,,,,
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,,,-1000000.000,,0.000,-1000000.000,4000000.000
OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,,,,,,-1000000.000,3000000.000
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,3000000.000,3000000.000,3000000.000,14000000.000,0.000,,
OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeTax,2000000.000,3000000.000,1000000.000,-6000000.000,0.000,,
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,4000000.000,1000000.000,2000000.000,10000000.000,0.000,0.000,1000000.000
OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,1000000.000,2000000.000,2000000.000,-8000000.000,0.000,,
OtherCostAndExpenseOperating,47000000.000,49000000.000,22000000.000,19000000.000,19000000.000,25000000.000,19000000.000
PaymentsToAcquirePropertyPlantAndEquipment,3000000.000,,,,7000000.000,,
ProceedsFromRelatedPartyDebt,10000000.000,,,,0.000,,
ProfitLoss,-20000000.000,-23000000.000,,,,,
Revenues,,,,,,80000000.000,122000000.000
SalesRevenueNet,,,,,,7000000.000,21000000.000
