,2015-02-28,2015-05-31,2015-11-30,2016-02-29,2016-05-31,2016-08-31,2016-11-30,2017-02-28,2017-05-31
AdvertisingExpense,,,,0.000,0.000,,0.000,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,,-15860.000,-1504.000,,,,,
Depreciation,,,154.000,,,,,,
DepreciationDepletionAndAmortization,,,,51.000,,,,,
EarningsPerShareBasic,0.000,0.000,,,,,,,
EarningsPerShareBasicAndDiluted,,,0.000,0.000,0.000,0.000,-0.010,-0.010,-0.010
GeneralAndAdministrativeExpense,2410.000,7250.000,,12644.000,20660.000,,25596.000,8019.000,13526.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,,,,-12644.000,-20660.000,,-25596.000,-8019.000,-13526.000
IncreaseDecreaseInAccountsPayable,,,100.000,-100.000,343.000,,12871.000,,
IncreaseDecreaseInAccruedLiabilities,,,,625.000,-625.000,,1775.000,,
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,,,-8333.000,,,,,,
IncreaseDecreaseInPrepaidExpense,,,,-19.000,-5133.000,,7500.000,,
NetCashProvidedByUsedInFinancingActivities,,,0.000,10546.000,15810.000,2377.000,18450.000,,
NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,,,0.000,10546.000,15810.000,2377.000,18450.000,,
NetCashProvidedByUsedInInvestingActivities,,,0.000,,,,,,
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,,,0.000,,,,,,
NetCashProvidedByUsedInOperatingActivities,,,-15860.000,-12050.000,-15810.000,-2377.000,-18450.000,,
NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,,,-15860.000,-12050.000,-15810.000,-2377.000,-18450.000,,
NetIncomeLoss,-910.000,-6250.000,-7781.000,-12644.000,-20660.000,-4634.000,-25596.000,-8019.000,-13526.000
OperatingExpenses,2410.000,7250.000,7781.000,,,,,,
OperatingIncomeLoss,-910.000,-6250.000,-7781.000,-12644.000,-20660.000,-4634.000,-25596.000,-8019.000,-13526.000
OtherNonrecurringIncomeExpense,,,7781.000,,,,,,
OtherSalesRevenueNet,1500.000,1000.000,,,,,,,
ProceedsFromRelatedPartyDebt,,,,12600.000,15810.000,,18450.000,,
ProfitLoss,,,-7781.000,-12645.000,-20660.000,,,,
RepaymentsOfRelatedPartyDebt,,,,2054.000,,,,,
WeightedAverageNumberOfShareOutstandingBasicAndDiluted,,,,11600000.000,11600000.000,,11600000.000,11600000.000,11600000.000
WeightedAverageNumberOfSharesOutstandingBasic,9043333.000,10913478.000,11600000.000,,,,,,
