,2011-06-30,2011-09-30
CostOfRevenue,3496000.000,3602000.000
EarningsPerShareBasicAndDiluted,-0.120,-0.190
GeneralAndAdministrativeExpense,2070000.000,1760000.000
GrossProfit,3823000.000,3206000.000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,-1173000.000,-1873000.000
IncomeTaxExpenseBenefit,78000.000,77000.000
LicenseCosts,2906000.000,2936000.000
LicensesRevenue,5610000.000,5207000.000
NetIncomeLoss,-1251000.000,-1950000.000
NonoperatingIncomeExpense,181000.000,-62000.000
OperatingExpenses,5177000.000,5017000.000
OperatingIncomeLoss,-1354000.000,-1811000.000
ResearchAndDevelopmentExpense,2076000.000,2128000.000
Revenues,7319000.000,6808000.000
SalesRevenueNet,7319000.000,6808000.000
SellingAndMarketingExpense,1031000.000,1129000.000
TechnologyServicesCosts,590000.000,666000.000
TechnologyServicesRevenue,1709000.000,1601000.000
