,2011-06-30,2011-09-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30
AssetManagementCosts,9364.000,7312.000,3660.000,2737.000,2229.000,2343.000,3203.000,2507.000,2735.000
EarningsPerShareBasicAndDiluted,,,,-5.820,-0.530,,-1.520,-1.300,-0.190
ExchangeFees,4502.000,3408.000,2805.000,2762.000,2792.000,4641.000,2676.000,2762.000,4392.000
FloorBrokerage,3592.000,3818.000,947.000,716.000,623.000,810.000,779.000,647.000,647.000
GainLossOnInvestments,-1319719.000,-137981.000,-350769.000,-479231.000,7765.000,3425.000,-211418.000,-143667.000,61110.000
GeneralInsuranceExpense,3940.000,5738.000,4372.000,3985.000,4355.000,3920.000,4701.000,5209.000,5000.000
IncreaseDecreaseInAccruedLiabilities,,,-26249.000,,,,7247.000,,
IncreaseDecreaseInDueToRelatedParties,,,8032.000,,,,3656.000,,
IncreaseDecreaseInOtherAccountsPayable,,,145192.000,,,,28622.000,,
IncreaseDecreaseInOtherOperatingAssets,,,,,,,60500.000,,
IncreaseDecreaseInPrepaidExpense,,,8388.000,,,,10455.000,,
IncreaseDecreaseInReceivables,,,,,,,-54850.000,,
InterestIncomeOperating,527.000,,,,3.000,,,,
InvestmentIncomeNet,-23543.000,-70988.000,-91134.000,-103365.000,-60804.000,-78966.000,-93612.000,-115567.000,-99564.000
LegalFees,2396.000,1814.000,19235.000,7944.000,2350.000,3850.000,2829.000,19384.000,6843.000
NetIncomeLoss,-1343262.000,-208969.000,-441903.000,-582596.000,-53039.000,-75541.000,-305030.000,-259234.000,-38454.000
NoninterestExpenseTransferAgentAndCustodianFees,,,1160.000,,,,1074.000,1101.000,1113.000
OperatingExpenses,75436.000,92092.000,91134.000,103365.000,60807.000,79416.000,93612.000,115567.000,99564.000
OtherCostAndExpenseOperating,957.000,5851.000,2635.000,7059.000,1787.000,-6461.000,1109.000,1370.000,1198.000
PaymentsForProceedsFromInvestments,,,-116792.000,,,,-152885.000,,
ProfessionalFees,,,,,8750.000,,8474.000,8975.000,8729.000
RealizedInvestmentGainsLosses,-678744.000,-472964.000,-205577.000,-685275.000,74732.000,-278671.000,-127946.000,-85674.000,226039.000
Revenues,1427.000,450.000,,,3.000,,,,
RevenuesExcludingInterestAndDividends,900.000,450.000,,,,,,,
SalesRevenueNet,679271.000,472964.000,,,-74729.000,,,,
StockIssuedDuringPeriodSharesNewIssues,,,0.000,0.000,,,,,
StockRedeemedOrCalledDuringPeriodShares,,,0.000,0.000,0.000,0.000,,,
SuppliesAndPostageExpense,4794.000,5085.000,3731.000,13877.000,5338.000,5416.000,4395.000,6187.000,3697.000
TrusteeFees,,,,620.000,633.000,,625.000,625.000,625.000
UnrealizedGainLossOnInvestments,-640975.000,334983.000,-145192.000,206044.000,-66967.000,282096.000,-83472.000,-57993.000,-164929.000
