,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31
AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,,,,,53000000.000,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,,-28000000.000,,,,
AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,53000000.000,,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,60000000.000,50000000.000,47000000.000,36000000.000,83000000.000,41000000.000
AllocatedShareBasedCompensationExpense,,,,47000000.000,39000000.000,29000000.000
AmortizationOfIntangibleAssets,,6000000.000,5000000.000,5000000.000,6000000.000,4000000.000
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,36000000.000,30000000.000,,,,
AssetImpairmentCharges,0.000,2000000.000,,,,
AvailableForSaleSecuritiesGrossUnrealizedGains,3000000.000,,,,,
AvailableForSaleSecuritiesGrossUnrealizedLoss,0.000,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,-59000000.000,-305000000.000,183000000.000,160000000.000,85000000.000,-478000000.000
CommonStockDividendsPerShareCashPaid,0.300,0.300,0.300,0.330,0.365,0.385
CommonStockDividendsPerShareDeclared,0.300,0.300,0.300,0.345,0.370,0.390
ComprehensiveIncomeNetOfTax,,-131000000.000,328000000.000,630000000.000,301000000.000,421000000.000
ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,,-37000000.000,50000000.000,10000000.000,25000000.000,33000000.000
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,-737000000.000,-94000000.000,378000000.000,640000000.000,326000000.000,454000000.000
CostOfGoodsAndServicesSold,5683000000.000,5794000000.000,5918000000.000,6134000000.000,4889000000.000,4901000000.000
CurrentFederalTaxExpenseBenefit,,,3000000.000,3000000.000,10000000.000,73000000.000
CurrentForeignTaxExpenseBenefit,63000000.000,51000000.000,58000000.000,67000000.000,56000000.000,69000000.000
CurrentStateAndLocalTaxExpenseBenefit,-1000000.000,-2000000.000,4000000.000,2000000.000,27000000.000,24000000.000
DeferredFederalIncomeTaxExpenseBenefit,-103000000.000,31000000.000,41000000.000,-377000000.000,192000000.000,140000000.000
DeferredForeignIncomeTaxExpenseBenefit,-8000000.000,-4000000.000,-2000000.000,-10000000.000,5000000.000,-12000000.000
DeferredIncomeTaxExpenseBenefit,-112000000.000,50000000.000,,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit,,7000000.000,7000000.000,-18000000.000,3000000.000,2000000.000
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,,0.072,0.072,0.072,,
DefinedBenefitPlanContributionsByEmployer,60000000.000,36000000.000,,,,
DefinedBenefitPlanFutureAmortizationOfGainLoss,,,13000000.000,21000000.000,19000000.000,21000000.000
DefinedBenefitPlanServiceCost,,,31000000.000,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsDebtSecurities,0.250,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecurities,0.450,,,,,
DefinedBenefitPlanTargetAllocationPercentageOfAssetsOther,0.150,,,,,
DefinedContributionPlanCostRecognized,,,54000000.000,,,
Depreciation,246000000.000,202000000.000,175000000.000,157000000.000,116000000.000,124000000.000
DepreciationDepletionAndAmortization,257000000.000,214000000.000,186000000.000,167000000.000,133000000.000,134000000.000
DerivativeGainLossOnDerivativeNet,-1000000.000,,,,,
DerivativeInstrumentsGainRecognizedInOtherComprehensiveIncomeEffectivePortion,23000000.000,23000000.000,,,,
DerivativeInstrumentsLossRecognizedInIncomeIneffectivePortionAndAmountExcludedFromEffectivenessTesting,,2000000.000,,,,
DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,-3000000.000,6000000.000,3000000.000,-6000000.000,-1000000.000,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,-4000000.000,-15000000.000,-2000000.000,,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax,-111000000.000,-22000000.000,-14000000.000,-6000000.000,10000000.000,
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,-7000000.000,,,
DiscontinuedOperationProvisionForLossGainOnDisposalBeforeIncomeTax,,,10000000.000,,,
DiscontinuedOperationTaxEffectOfDiscontinuedOperation,,,-4000000.000,-1000000.000,12000000.000,
DiscontinuedOperationTaxEffectOfIncomeLossFromDisposalOfDiscontinuedOperation,1000000.000,-16000000.000,,,,
DisposalGroupIncludingDiscontinuedOperationCostsOfGoodsSold,,,,,603000000.000,
DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,,,,,6000000.000,
DisposalGroupIncludingDiscontinuedOperationGrossProfitLoss,,,,,159000000.000,
DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,15000000.000,,,,,
DisposalGroupIncludingDiscontinuedOperationRevenue,93000000.000,71000000.000,265000000.000,,762000000.000,
DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,86000000.000,3000000.000,10000000.000,,,
DividendsCommonStockCash,107000000.000,107000000.000,107000000.000,122000000.000,126000000.000,128000000.000
EarningsPerShareBasic,-1.660,-0.330,0.760,2.400,1.030,1.490
EarningsPerShareDiluted,-1.660,-0.330,0.760,2.380,1.020,1.470
EffectOfExchangeRateOnCashAndCashEquivalents,-18000000.000,17000000.000,-3000000.000,-45000000.000,-15000000.000,-34000000.000
EffectiveIncomeTaxRateContinuingOperations,0.100,1.980,0.260,-0.580,0.430,0.360
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,-0.350,0.350,0.350,0.350,0.350,0.350
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,0.190,1.540,-0.110,-0.870,0.030,0.000
EffectiveIncomeTaxRateReconciliationDeductions,,,,,,0.010
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,0.010,-0.090,,0.040,0.010,0.020
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses,0.060,0.030,,,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments,-0.010,0.050,,,,0.010
EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings,,,,,0.030,0.010
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,,0.080,0.020,-0.020,0.030,0.020
