,2011-06-30,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31
AmortizationOfDebtDiscountPremium,1140000.000,1207000.000,,,,,,,,,,,,264000.000,,,,30000.000,,,,710000.000
AmortizationOfFinancingCostsAndDiscounts,,,1226000.000,1224000.000,,1285000.000,1287000.000,1252000.000,1251000.000,1319000.000,1316000.000,1321000.000,1319000.000,1334000.000,1335000.000,1086000.000,1312000.000,1026000.000,1080000.000,1017000.000,1024000.000,1077000.000
AmortizationOfRegulatoryAsset,,-719000.000,,,,805000.000,,,,808000.000,,,,-1008000.000,,,,1395000.000,,,,261000.000
AssetRetirementObligationLiabilitiesIncurred,,,,,,,,,,,,12600000.000,,,,,,,,,,
CashAndCashEquivalentsPeriodIncreaseDecrease,,31504000.000,,,,-4166000.000,,,,25520000.000,,,,2325000.000,,,,-1597000.000,,,,-543000.000
ComprehensiveIncomeNetOfTax,,15226000.000,,,,,,,,,,,,,,,,,,,,
CurrentIncomeTaxExpenseBenefit,,,12921000.000,23535000.000,,18424000.000,10893000.000,21824000.000,7407000.000,16559000.000,11203000.000,21385000.000,21088000.000,18201000.000,8781000.000,21404000.000,8898000.000,16404000.000,17429000.000,29457000.000,9871000.000,15953000.000
DeferredIncomeTaxesAndTaxCredits,,-3927000.000,,,,-1827000.000,,,,880000.000,,,,12177000.000,,,,12942000.000,,,,-6509000.000
DefinedBenefitPlanActuarialGainLoss,,,,,,,,,,,,,,,,108000.000,,,,,,-80000.000
DefinedBenefitPlanAmortizationOfGainsLosses,,,,,,,,-5683000.000,,-2429000.000,-2426000.000,-2428000.000,,-3475000.000,-3475000.000,-3470000.000,,-3474000.000,-3474000.000,-3474000.000,,-3300000.000
DefinedBenefitPlanAmortizationOfNetGainsLosses,,,4867000.000,4868000.000,,5684000.000,5684000.000,,,,,,,,,,,,,,,
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,,1062000.000,1061000.000,,1229000.000,1229000.000,1229000.000,1229000.000,1213000.000,1213000.000,1214000.000,1213000.000,1216000.000,1217000.000,1217000.000,1217000.000,1296000.000,1296000.000,1296000.000,1295000.000,1060000.000
DefinedBenefitPlanContributionsByEmployer,,,,,,49659000.000,,,,54100000.000,,,,25000000.000,,146000.000,,15900000.000,,,,7211000.000
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,8138000.000,8138000.000,,9572000.000,9572000.000,9571000.000,9572000.000,10473000.000,10473000.000,10474000.000,10473000.000,11206000.000,11206000.000,11204000.000,11203000.000,10873000.000,10874000.000,10873000.000,10872000.000,11167000.000
DefinedBenefitPlanInterestCost,,,7558000.000,7558000.000,,7091000.000,7090000.000,7091000.000,7091000.000,7788000.000,7789000.000,7788000.000,7789000.000,7408000.000,7408000.000,7411000.000,7411000.000,6454000.000,6454000.000,6454000.000,6453000.000,6327000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,7345000.000,7346000.000,,6731000.000,6730000.000,6730000.000,6731000.000,2765000.000,2762000.000,2764000.000,2764000.000,2972000.000,2972000.000,3179000.000,2973000.000,2105000.000,2105000.000,2105000.000,2105000.000,1502000.000
DefinedBenefitPlanRecognizedNetGainLossDueToSettlements1,,,,,,,,,,,,,,,,-206000.000,,,,0.000,,
DefinedBenefitPlanServiceCost,,,1996000.000,1997000.000,,2299000.000,2299000.000,2298000.000,2299000.000,1808000.000,1807000.000,1808000.000,1808000.000,2079000.000,2078000.000,2079000.000,2078000.000,1754000.000,1755000.000,1754000.000,1755000.000,1836000.000
DefinedBenefitPlanSettlementsBenefitObligation,,,,,,,,,,,,,,,,,,,,,,146000.000
DepreciationDepletionAndAmortization,,44621000.000,,,,45459000.000,,,,46534000.000,,,,48524000.000,,,,52837000.000,,,,52591000.000
DividendsCommonStock,,14600000.000,,,,15400000.000,,,,19800000.000,,,,,,,,,,,,
EffectiveIncomeTaxRateContinuingOperations,,,0.409,0.406,,0.376,0.392,0.380,-0.765,0.321,0.348,0.364,-0.642,0.363,0.384,0.363,-0.751,0.327,0.333,0.350,-0.686,0.318
ElectricUtilityRevenue,279943000.000,301104000.000,292659000.000,324478000.000,311536000.000,327017000.000,299569000.000,321274000.000,307874000.000,355303000.000,314160000.000,335574000.000,316637000.000,332201000.000,292477000.000,326562000.000,299159000.000,327745000.000,323289000.000,361339000.000,335057000.000,336909000.000
GainsLossesOnExtinguishmentOfDebt,-15378000.000,,,,,,,,,,,,,,-19323000.000,-2728000.000,,,0.000,0.000,,
IncomeTaxesPaidNet,,,,,,,,,,,,,,,,,,0.000,,,,0.000
IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,,-590000.000,,,,4424000.000,,,,-3029000.000,,,,10299000.000,,,,688000.000,,,,-12343000.000
IncreaseDecreaseInAccountsReceivable,,-8580000.000,,,,8919000.000,,,,6262000.000,,,,-848000.000,,,,2813000.000,,,,-15440000.000
IncreaseDecreaseInAccruedIncomeTaxesPayable,,,,,,,,,,,,,,,,,,,,,,-18692000.000
