,2011-08-28,2012-02-26,2012-05-27,2012-08-26
AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,,7114000.000,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,,2496000.000,,
AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,,-7000.000,,
AllocatedShareBasedCompensationExpense,,,,1800000.000
AmortizationOfDebtDiscountPremium,,424000.000,,
AmortizationOfFinancingCosts,,1162000.000,,
AmortizationOfIntangibleAssets,73000.000,72000.000,72000.000,73000.000
CashAndCashEquivalentsPeriodIncreaseDecrease,,-10051000.000,,
ComprehensiveIncomeNetOfTax,,,,5500000.000
CostOfGoodsSold,197067000.000,189915000.000,185011000.000,217229000.000
DeferredIncomeTaxesAndTaxCredits,,-636000.000,,
DefinedBenefitPlanAmortizationOfGainsLosses,,,,-202000.000
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,,,,38000.000
DefinedBenefitPlanAssumptionsUsedCalculatingNetPeriodicBenefitCostExpectedLongTermReturnOnAssets,,,,0.075
DefinedBenefitPlanContributionsByEmployer,,,,426000.000
DefinedBenefitPlanExpectedReturnOnPlanAssets,,,,388000.000
DefinedBenefitPlanInterestCost,,,,382000.000
DefinedBenefitPlanNetPeriodicBenefitCost,,,,474000.000
DefinedBenefitPlanServiceCost,,,,240000.000
DepreciationDepletionAndAmortization,,6058000.000,,
DiscontinuedOperationGainLossOnDisposalOfDiscontinuedOperationNetOfTax,,,,-134000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax,,,,-173000.000
DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodNetOfTax,,,,-173000.000
EarningsPerShareBasic,0.070,0.020,0.020,
EarningsPerShareDiluted,0.040,0.010,0.020,
EffectOfExchangeRateOnCashAndCashEquivalents,,955000.000,,
EffectiveIncomeTaxRateContinuingOperations,,,,1.067
EquityMethodInvestmentDividendsOrDistributions,,1000000.000,,
EquityMethodInvestmentSummarizedFinancialInformationGrossProfitLoss,,,,10855000.000
EquityMethodInvestmentSummarizedFinancialInformationIncomeLossFromContinuingOperationsBeforeExtraordinaryItems,,,,2148000.000
EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,,,,1696000.000
EquityMethodInvestmentSummarizedFinancialInformationRevenue,,,,17186000.000
GainLossOnDispositionOfAssets,,-243000.000,,
GainsLossesOnExtinguishmentOfDebt,,-300000.000,,
GrossProfit,137000000.000,122375000.000,127020000.000,148205000.000
IncomeLossFromContinuingOperations,7489000.000,1606000.000,2815000.000,
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,15988000.000,2958000.000,1720000.000,11391000.000
