,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30
AccountsPayableCurrent,7754000.000,9189000.000,7571000.000,10548000.000,13301000.000,9966000.000,13911000.000,12051000.000,9821000.000,10248000.000,12143000.000,11907000.000,11929000.000,12955000.000,9047000.000,8782000.000
AccountsReceivableGrossCurrent,,,,,,114612000.000,,,,121684000.000,,,,139252000.000,,
AccountsReceivableNet,,,,,,113906000.000,,,,120932000.000,,,,136790000.000,,
AccountsReceivableNetCurrent,95202000.000,108617000.000,90567000.000,103427000.000,125080000.000,113906000.000,124502000.000,129650000.000,130099000.000,120932000.000,138453000.000,147394000.000,146501000.000,136790000.000,131308000.000,131614000.000
AccrualForEnvironmentalLossContingencies,,,,,9300000.000,9000000.000,8500000.000,8500000.000,9000000.000,8300000.000,7900000.000,7900000.000,7900000.000,8200000.000,7800000.000,7200000.000
AccruedEmployeeBenefitsCurrent,,,,,,4783000.000,,,,5440000.000,,,,7389000.000,,
AccruedEnvironmentalLossContingenciesCurrent,3208000.000,3572000.000,3878000.000,3911000.000,4740000.000,2739000.000,2829000.000,3357000.000,4327000.000,3818000.000,3449000.000,4446000.000,4729000.000,4389000.000,3966000.000,4181000.000
AccruedEnvironmentalLossContingenciesNoncurrent,6336000.000,5600000.000,6222000.000,5765000.000,4513000.000,6302000.000,5672000.000,5118000.000,4675000.000,4479000.000,4479000.000,3444000.000,3181000.000,3830000.000,3803000.000,3023000.000
AccruedIncomeTaxesCurrent,,,,,,1191000.000,,,,1286000.000,,,,1071000.000,,
AccruedInsuranceCurrent,,,,,,3896000.000,,,,2396000.000,,,,3862000.000,,
AccruedLiabilitiesCurrent,21063000.000,28610000.000,25327000.000,30454000.000,46710000.000,37889000.000,34765000.000,29304000.000,35909000.000,30580000.000,33831000.000,30677000.000,37690000.000,32617000.000,35874000.000,33497000.000
